region	coord	gene	Oxt PAT#
3UTR	26363166	AT1G70000	1
3UTR	26363292	AT1G70000	1
3UTR	26378290	AT1G70020	1
CDS	26401414	AT1G70090	1
CDS	26404123	AT1G70100	1
3UTR	26409705	AT1G70130	3
CDS	26414820	AT1G70140	1
3UTR	26425190	AT1G70170	1
3UTR	26442580	AT1G70210	1
3UTR	26446206	AT1G70220	1
3UTR	26465834	AT1G70280	2
3UTR	26465926	AT1G70280	1
CDS	26471287	AT1G70290	5
CDS	26473166	AT1G70290	1
3UTR	26477968	AT1G70300	5
CDS	26490524	AT1G70320	1
3UTR	26507228	AT1G70350	1
CDS	26540030	AT1G70420	2
3UTR	26548834	AT1G70440	1
3UTR	26566352	AT1G70500	1
3UTR	26566519	AT1G70500	1
3UTR	26584809	AT1G70520	1
CDS	26586271	AT1G70520	2
CDS	26607318	AT1G70560	2
intron	26605512	AT1G70560	3
intron	26606188	AT1G70560	1
3UTR	26612130	AT1G70570	1
3UTR	26615992	AT1G70580	1
CDS	26615837	AT1G70580	1
CDS	26621214	AT1G70600	1
3UTR	26640181	AT1G70650	2
3UTR	26640259	AT1G70650	1
3UTR	26653666	AT1G70690	1
intron	26652876	AT1G70690	1
3UTR	26688366	AT1G70770	1
intron	26707637	AT1G70820	1
3UTR	26712890	AT1G70840	15
3UTR	26713036	AT1G70840	1
3UTR	26713072	AT1G70840	1
CDS	26716218	AT1G70850	1
3UTR	26733737	AT1G70900	1
3UTR	26734777	AT1G70910	1
3UTR	26745916	AT1G70940	1
3UTR	26746036	AT1G70940	13
3UTR	26746082	AT1G70940	2
3UTR	26796852	AT1G71040	1
3UTR	26797178	AT1G71040	3
intron	26799848	AT1G71040	1
CDS	26810129	AT1G71080	1
3UTR	26826817	AT1G71140	1
5UTR	26887836	AT1G71340	1
3UTR	26892152	AT1G71360	3
intron	26953206	AT1G71692	10
3UTR	26966740	AT1G71695	1
CDS	26985407	AT1G71720	31
3UTR	26986164	AT1G71730	1
3UTR	26987715	AT1G71740	1
3UTR	26998923	AT1G71790	1
3UTR	27002242	AT1G71800	1
3UTR	27029002	AT1G71860	1
3UTR	27065758	AT1G71910	1
3UTR	27065797	AT1G71910	4
3UTR	27066060	AT1G71910	1
3UTR	27102186	AT1G71990	4
3UTR	27109006	AT1G72010	1
intron	27111217	AT1G72030	1
3UTR	27117393	AT1G72050	1
intron	27125049	AT1G72090	39
3UTR	27128916	AT1G72100	1
3UTR	27136327	AT1G72125	1
CDS	27144317	AT1G72140	1
3UTR	27153648	AT1G72160	1
3UTR	27167329	AT1G72190	1
3UTR	27198607	AT1G72260	2
CDS	27208504	AT1G72270	1
intron	27199951	AT1G72270	1
CDS	27234971	AT1G72330	1
CDS	27235134	AT1G72330	1
3UTR	27251337	AT1G72390	1
3UTR	27251369	AT1G72390	2
CDS	27253065	AT1G72410	1
CDS	27253643	AT1G72410	11
CDS	27253711	AT1G72410	2
CDS	27253849	AT1G72410	1
CDS	27253937	AT1G72410	17
3UTR	27261242	AT1G72420	1
3UTR	27268136	AT1G72440	1
CDS	27287125	AT1G72480	1
3UTR	27312766	AT1G72520	2
CDS	27347476	AT1G72640	1
intron	27347766	AT1G72640	3
3UTR	27353673	AT1G72650	1
3UTR	27353781	AT1G72650	1
3UTR	27376650	AT1G72720	2
3UTR	27384391	AT1G72750	2
3UTR	27393289	AT1G72770	1
3UTR	27393328	AT1G72770	1
3UTR	27423277	AT1G72880	1
intron	27424872	AT1G72880	14
3UTR	27431792	AT1G72890	1
3UTR	27433618	AT1G72900	2
3UTR	27433874	AT1G72900	2
CDS	27433082	AT1G72900	9
CDS	27433138	AT1G72900	1
CDS	27433195	AT1G72900	6
CDS	27433410	AT1G72900	1
CDS	27433461	AT1G72900	1
CDS	27433497	AT1G72900	1
3UTR	27437137	AT1G72910	3
CDS	27436730	AT1G72910	2
CDS	27436841	AT1G72910	1
intron	27436194	AT1G72910	1
3UTR	27440502	AT1G72930	1
3UTR	27451008	AT1G72960	2
3UTR	27455844	AT1G72970	3
3UTR	27457437	AT1G72990	1
3UTR	27474964	AT1G73030	2
CDS	27474805	AT1G73030	1
CDS	27474847	AT1G73030	1
3UTR	27481562	AT1G73060	1
CDS	27481823	AT1G73066	1
3UTR	27494029	AT1G73100	1
3UTR	27504038	AT1G73150	2
3UTR	27511683	AT1G73170	1
CDS	27512150	AT1G73170	14
intron	27516849	AT1G73177	1
3UTR	27540172	AT1G73230	1
CDS	27540909	AT1G73230	4
3UTR	27547163	AT1G73260	1
3UTR	27562554	AT1G73310	1
3UTR	27575580	AT1G73350	1
3UTR	27590903	AT1G73390	2
3UTR	27590960	AT1G73390	1
CDS	27591825	AT1G73390	1
3UTR	27612338	AT1G73440	1
3UTR	27642412	AT1G73510	1
3UTR	27642504	AT1G73510	1
3UTR	27643694	AT1G73530	1
3UTR	27654098	AT1G73570	3
3UTR	27654127	AT1G73570	1
3UTR	27654179	AT1G73570	2
3UTR	27680030	AT1G73610	3
3UTR	27683085	AT1G73620	1
3UTR	27691987	AT1G73660	6
CDS	27694236	AT1G73660	1
CDS	27694699	AT1G73660	1
3UTR	27730021	AT1G73730	3
3UTR	27730167	AT1G73730	1
3UTR	27730244	AT1G73730	1
intron	27730374	AT1G73730	1
3UTR	27736170	AT1G73740	11
CDS	27746130	AT1G73805	1
3UTR	27763776	AT1G73840	1
intron	27768426	AT1G73850	1
CDS	27779998	AT1G73870	1
3UTR	27786610	AT1G73880	7
3UTR	27798250	AT1G73940	3
intron	27818893	AT1G73970	18
3UTR	27820196	AT1G73980	1
CDS	27825822	AT1G73990	1
CDS	27842861	AT1G74040	30
CDS	27842950	AT1G74040	1
3UTR	27851449	AT1G74070	3
3UTR	27851727	AT1G74070	19
3UTR	27864402	AT1G74100	4
3UTR	27866575	AT1G74110	1
3UTR	27871466	AT1G74120	1
3UTR	27876074	AT1G74130	1
intron	27911405	AT1G74210	1
CDS	27921463	AT1G74250	12
CDS	27921658	AT1G74250	3
3UTR	27936614	AT1G74310	1
CDS	27937134	AT1G74310	1
3UTR	27943387	AT1G74330	27
CDS	27946736	AT1G74330	1
3UTR	27961669	AT1G74390	1
3UTR	27965369	AT1G74400	1
CDS	27976985	AT1G74430	1
intron	27975808	AT1G74430	10
3UTR	27992883	AT1G74470	2
CDS	27992634	AT1G74470	1
3UTR	28007702	AT1G74510	1
3UTR	28008022	AT1G74520	2
CDS	28014119	AT1G74540	2
3UTR	28032731	AT1G74630	1
CDS	28062062	AT1G74690	1
3UTR	28067331	AT1G74700	1
intron	28071381	AT1G74710	1
CDS	28075528	AT1G74720	45
intron	28080471	AT1G74740	1
CDS	28087227	AT1G74750	1
3UTR	28098137	AT1G74780	2
3UTR	28098225	AT1G74780	1
CDS	28096351	AT1G74780	2
intron	28096447	AT1G74780	1
intron	28096593	AT1G74780	1
3UTR	28101888	AT1G74790	2
intron	28100610	AT1G74790	3
3UTR	28101876	AT1G74800	1
3UTR	28125850	AT1G74860	1
CDS	28125324	AT1G74860	2
3UTR	28128403	AT1G74870	1
intron	28129321	AT1G74875	1
intron	28129348	AT1G74875	3
3UTR	28129945	AT1G74880	6
CDS	28130528	AT1G74880	1
CDS	28130837	AT1G74880	34
3UTR	28135676	AT1G74910	1
3UTR	28139079	AT1G74920	1
3UTR	28147085	AT1G74940	4
intron	28146873	AT1G74940	1
CDS	28153139	AT1G74960	2
CDS	28158959	AT1G74970	1
3UTR	28179051	AT1G75040	1
3UTR	28190994	AT1G75100	2
3UTR	28194194	AT1G75110	5
3UTR	28194250	AT1G75110	1
3UTR	28194314	AT1G75110	1
CDS	28201111	AT1G75130	1
3UTR	28215961	AT1G75180	2
3UTR	28220728	AT1G75200	1
CDS	28222369	AT1G75200	1
intron	28221043	AT1G75200	1
3UTR	28242780	AT1G75240	1
3UTR	28249441	AT1G75260	1
3UTR	28281639	AT1G75380	2
CDS	28281800	AT1G75380	15
3UTR	28292873	AT1G75388	13
3UTR	28293038	AT1G75388	1
3UTR	28299805	AT1G75400	1
CDS	28299011	AT1G75400	1
CDS	28299052	AT1G75400	2
3UTR	28329042	AT1G75460	1
3UTR	28329700	AT1G75460	2
3UTR	28338178	AT1G75500	1
intron	28338758	AT1G75500	1
3UTR	28347176	AT1G75510	1
3UTR	28382780	AT1G75590	2
3UTR	28417187	AT1G75680	1
CDS	28428903	AT1G75710	3
intron	28442208	AT1G75750	2
3UTR	28446565	AT1G75760	1
3UTR	28460701	AT1G75800	1
CDS	28464102	AT1G75820	1
3UTR	28477687	AT1G75840	14
intron	28499550	AT1G75900	1
intron	28499638	AT1G75900	1
CDS	28517361	AT1G75950	1
CDS	28517438	AT1G75950	1
3UTR	28528488	AT1G76010	1
CDS	28528536	AT1G76010	1
CDS	28529072	AT1G76010	8
3UTR	28540595	AT1G76040	3
3UTR	28553909	AT1G76100	6
3UTR	28554209	AT1G76100	1
3UTR	28555141	AT1G76110	1
3UTR	28558717	AT1G76120	2
CDS	28572185	AT1G76140	1
3UTR	28574670	AT1G76150	1
CDS	28575516	AT1G76150	1
3UTR	28586685	AT1G76180	3
3UTR	28613208	AT1G76260	1
3UTR	28613262	AT1G76260	1
3UTR	28613167	AT1G76270	1
3UTR	28627730	AT1G76310	1
3UTR	28627894	AT1G76310	2
5UTR	28630369	AT1G76310	1
intron	28652234	AT1G76380	1
CDS	28656258	AT1G76390	1
3UTR	28658602	AT1G76400	1
3UTR	28669490	AT1G76410	2
3UTR	28682202	AT1G76440	1
3UTR	28682235	AT1G76440	1
3UTR	28692136	AT1G76480	1
3UTR	28698285	AT1G76490	4
CDS	28695937	AT1G76490	1
CDS	28697816	AT1G76490	1
CDS	28698206	AT1G76490	7
3UTR	28720338	AT1G76530	1
3UTR	28720486	AT1G76540	19
CDS	28738445	AT1G76580	2
3UTR	28751940	AT1G76610	1
CDS	28751729	AT1G76610	1
CDS	28780342	AT1G76690	1
CDS	28790064	AT1G76710	1
3UTR	28830222	AT1G76800	10
intron	28849937	AT1G76850	1
3UTR	28893588	AT1G76920	1
3UTR	28911394	AT1G76950	44
intron	28918340	AT1G76954	11
3UTR	28922770	AT1G76970	1
3UTR	28935307	AT1G76990	10
3UTR	28974615	AT1G77110	1
CDS	28976899	AT1G77120	6
CDS	28976925	AT1G77120	1
intron	28976799	AT1G77120	1
CDS	28990561	AT1G77145	1
3UTR	28992788	AT1G77150	2
CDS	29000280	AT1G77180	7
CDS	29000375	AT1G77180	11
CDS	29000458	AT1G77180	1
intron	29013458	AT1G77220	1
CDS	29021083	AT1G77250	1
3UTR	29031279	AT1G77280	3
3UTR	29056347	AT1G77310	1
3UTR	29063168	AT1G77330	3
3UTR	29074849	AT1G77380	1
3UTR	29088700	AT1G77405	5
3UTR	29088578	AT1G77410	1
3UTR	29098506	AT1G77440	2
3UTR	29114636	AT1G77480	31
3UTR	29144071	AT1G77580	21
3UTR	29144122	AT1G77580	15
3UTR	29175543	AT1G77630	1
3UTR	29188958	AT1G77670	1
3UTR	29207915	AT1G77710	1
CDS	29239214	AT1G77760	2
3UTR	29246342	AT1G77770	10
CDS	29246784	AT1G77770	1
CDS	29259352	AT1G77800	2
intron	29259949	AT1G77800	1
3UTR	29270479	AT1G77840	1
intron	29274627	AT1G77850	5
5UTR	29298429	AT1G77920	14
3UTR	29339591	AT1G78020	17
3UTR	29339665	AT1G78020	2
3UTR	29393912	AT1G78120	10
intron	29423550	AT1G78210	2
3UTR	29450271	AT1G78260	1
CDS	29455893	AT1G78280	1
3UTR	29457391	AT1G78290	3
3UTR	29463276	AT1G78300	28
CDS	29486778	AT1G78380	25
3UTR	29498099	AT1G78400	1
3UTR	29503193	AT1G78410	2
3UTR	29507330	AT1G78420	1
3UTR	29511532	AT1G78440	1
3UTR	29511598	AT1G78440	2
3UTR	29511638	AT1G78440	1
3UTR	29518257	AT1G78460	2
3UTR	29518464	AT1G78460	1
3UTR	29518496	AT1G78460	1
CDS	29519207	AT1G78460	1
CDS	29525533	AT1G78480	1
3UTR	29530692	AT1G78490	1
CDS	29529393	AT1G78490	1
CDS	29529509	AT1G78490	1
CDS	29530191	AT1G78490	12
CDS	29530273	AT1G78490	40
intron	29528992	AT1G78490	1
3UTR	29535328	AT1G78510	1
5UTR	29546473	AT1G78550	1
3UTR	29552298	AT1G78570	1
3UTR	29568823	AT1G78600	1
3UTR	29585584	AT1G78650	5
3UTR	29598531	AT1G78690	3
3UTR	29607799	AT1G78730	1
3UTR	29637062	AT1G78830	6
3UTR	29637128	AT1G78830	1
CDS	29642323	AT1G78850	1
3UTR	29652789	AT1G78880	1
CDS	29662523	AT1G78900	1
intron	29691893	AT1G78955	1
CDS	29698220	AT1G78960	1
3UTR	29713429	AT1G78990	2
3UTR	29715130	AT1G78995	21
3UTR	29715210	AT1G78995	53
3UTR	29715386	AT1G78995	1
CDS	29715465	AT1G78995	1
CDS	29715584	AT1G78995	1
intron	29715492	AT1G78995	1
3UTR	29716686	AT1G79000	1
CDS	29736678	AT1G79040	9
CDS	29736703	AT1G79040	11
intron	29736626	AT1G79040	5
3UTR	29743512	AT1G79060	1
3UTR	29744828	AT1G79070	1
3UTR	29749164	AT1G79090	64
3UTR	29749202	AT1G79090	98
3UTR	29760603	AT1G79110	2
3UTR	29760670	AT1G79110	4
3UTR	29800441	AT1G79220	1
CDS	29799430	AT1G79220	2
3UTR	29814296	AT1G79260	1
3UTR	29819101	AT1G79270	1
CDS	29822771	AT1G79280	1
intron	29827163	AT1G79280	1
3UTR	29854055	AT1G79360	2
3UTR	29863076	AT1G79380	1
3UTR	29863112	AT1G79380	1
3UTR	29863156	AT1G79390	1
3UTR	29863205	AT1G79390	1
3UTR	29877232	AT1G79430	1
3UTR	29877321	AT1G79430	1
3UTR	29882100	AT1G79440	1
3UTR	29882464	AT1G79440	2
intron	29893977	AT1G79460	1
CDS	29914323	AT1G79520	4
3UTR	29920004	AT1G79540	1
CDS	29935037	AT1G79570	1
3UTR	29976830	AT1G79670	1
CDS	29992093	AT1G79700	1
intron	29991752	AT1G79700	1
intron	29992954	AT1G79700	1
intron	29993079	AT1G79700	1
intron	29993159	AT1G79700	4
CDS	29996276	AT1G79710	1
3UTR	29997181	AT1G79720	20
3UTR	30000429	AT1G79730	6
CDS	30004531	AT1G79740	1
3UTR	30007583	AT1G79750	1
3UTR	30013125	AT1G79760	1
3UTR	30013225	AT1G79760	1
3UTR	30015127	AT1G79770	1
3UTR	30016950	AT1G79780	1
3UTR	30027965	AT1G79830	14
3UTR	30041999	AT1G79860	2
3UTR	30052366	AT1G79900	19
3UTR	30052419	AT1G79900	35
3UTR	30079453	AT1G79960	1
3UTR	30079493	AT1G79960	1
3UTR	30105119	AT1G80030	1
intron	30111877	AT1G80050	1
intron	30111916	AT1G80050	8
3UTR	30116133	AT1G80060	1
3UTR	30128059	AT1G80080	1
3UTR	30131941	AT1G80090	2
3UTR	30140165	AT1G80120	2
3UTR	30152122	AT1G80160	1
3UTR	30153627	AT1G80170	2
3UTR	30156920	AT1G80180	1
3UTR	30163271	AT1G80210	2
3UTR	30189582	AT1G80290	3
3UTR	30189646	AT1G80290	1
3UTR	30189679	AT1G80290	3
CDS	30189369	AT1G80290	1
CDS	30189525	AT1G80290	1
3UTR	30194439	AT1G80300	7
CDS	30205630	AT1G80350	1
3UTR	30243101	AT1G80440	1
CDS	30242619	AT1G80440	8
CDS	30247042	AT1G80460	1
CDS	30247110	AT1G80460	4
3UTR	30258262	AT1G80480	1
CDS	30258366	AT1G80480	3
CDS	30277059	AT1G80520	1
CDS	30303813	AT1G80610	1
3UTR	30315758	AT1G80650	2
3UTR	30337632	AT1G80720	1
3UTR	30357825	AT1G80770	2
3UTR	30363367	AT1G80790	1
CDS	30362368	AT1G80790	13
CDS	30362518	AT1G80790	174
CDS	30362639	AT1G80790	1
CDS	30362669	AT1G80790	28
3UTR	30369096	AT1G80810	1
intron	30384726	AT1G80840	1
3UTR	30390459	AT1G80865	1
3UTR	30390608	AT1G80865	1
3UTR	30403834	AT1G80920	11
3UTR	30405684	AT1G80930	1
CDS	30408680	AT1G80930	3
CDS	30408827	AT1G80930	240
3UTR	30412174	AT1G80940	1
3UTR	30412539	AT1G80950	19
intron	30414274	AT1G80950	3
3UTR	30418344	AT1G80960	1
3UTR	79427	AT2G01080	1
intron	78893	AT2G01080	2
intron	78936	AT2G01080	1
CDS	82699	AT2G01100	13
3UTR	83164	AT2G01110	1
3UTR	88126	AT2G01120	1
3UTR	88694	AT2G01130	2
3UTR	105393	AT2G01175	5
3UTR	117475	AT2G01190	1
3UTR	119358	AT2G01210	45
3UTR	135155	AT2G01260	1
3UTR	135299	AT2G01260	1
CDS	164521	AT2G01340	1
intron	164956	AT2G01340	1
3UTR	174217	AT2G01390	2
3UTR	175408	AT2G01400	1
3UTR	175167	AT2G01410	1
3UTR	175205	AT2G01410	1
CDS	175532	AT2G01410	1
3UTR	193764	AT2G01440	10
3UTR	193842	AT2G01440	1
3UTR	193882	AT2G01440	1
CDS	196527	AT2G01440	1
CDS	200262	AT2G01450	1
3UTR	220992	AT2G01480	1
3UTR	230547	AT2G01510	1
CDS	231525	AT2G01510	2
CDS	255885	AT2G01570	1
3UTR	267895	AT2G01590	1
3UTR	273830	AT2G01610	1
3UTR	308483	AT2G01680	2
3UTR	308509	AT2G01680	2
3UTR	308538	AT2G01680	1
3UTR	332133	AT2G01750	1
3UTR	350255	AT2G01810	1
intron	353786	AT2G01818	23
intron	354284	AT2G01818	2
intron	354312	AT2G01818	1
3UTR	396740	AT2G01890	1
CDS	419720	AT2G01910	13
3UTR	427187	AT2G01930	1
3UTR	434920	AT2G01940	1
3UTR	440692	AT2G01950	1
3UTR	474108	AT2G02010	1
3UTR	497643	AT2G02060	23
intron	506748	AT2G02070	6
3UTR	528922	AT2G02100	4
3UTR	528962	AT2G02100	1
CDS	528855	AT2G02100	1
3UTR	538936	AT2G02120	1
3UTR	539015	AT2G02120	15
3UTR	539161	AT2G02120	1
CDS	554032	AT2G02160	3
CDS	554134	AT2G02160	1
CDS	554482	AT2G02160	1
3UTR	556514	AT2G02170	1
CDS	584825	AT2G02220	1
3UTR	592180	AT2G02240	2
3UTR	631384	AT2G02400	1
3UTR	650653	AT2G02450	1
intron	648512	AT2G02450	1
CDS	691300	AT2G02560	1
3UTR	703679	AT2G02580	1
CDS	746519	AT2G02680	4
CDS	746615	AT2G02680	1
CDS	763862	AT2G02720	1
3UTR	775491	AT2G02760	1
3UTR	791167	AT2G02790	1
intron	827469	AT2G02850	2
3UTR	855146	AT2G02950	1
3UTR	865368	AT2G02970	1
3UTR	881731	AT2G03010	2
3UTR	882658	AT2G03020	1
3UTR	909018	AT2G03070	1
CDS	953951	AT2G03150	13
3UTR	966499	AT2G03200	1
intron	976487	AT2G03240	1
3UTR	996123	AT2G03280	1
3UTR	1014262	AT2G03330	5
CDS	1041877	AT2G03450	1
3UTR	1045483	AT2G03470	3
3UTR	1065231	AT2G03505	2
3UTR	1065396	AT2G03505	4
3UTR	1078156	AT2G03550	1
CDS	1078016	AT2G03550	2
3UTR	1094592	AT2G03580	2
3UTR	1121956	AT2G03680	60
3UTR	1133276	AT2G03720	2
3UTR	1188353	AT2G03890	1
5UTR	1185987	AT2G03890	2
CDS	1186917	AT2G03890	1
3UTR	1276811	AT2G04025	1
3UTR	1286138	AT2G04030	1
3UTR	1337187	AT2G04050	4
3UTR	1337256	AT2G04050	1
CDS	1337634	AT2G04050	2
CDS	1337834	AT2G04050	1
CDS	1338503	AT2G04050	1
3UTR	1353773	AT2G04070	1
3UTR	1353813	AT2G04070	1
CDS	1429731	AT2G04190	1
3UTR	1446797	AT2G04230	2
intron	1448577	AT2G04230	26
3UTR	1525576	AT2G04378	1
3UTR	1526566	AT2G04380	1
3UTR	1526751	AT2G04380	1
CDS	1531658	AT2G04400	1
3UTR	1545451	AT2G04450	13
3UTR	1545507	AT2G04450	1
3UTR	1590187	AT2G04560	1
CDS	1645976	AT2G04690	34
3UTR	1659730	AT2G04740	1
3UTR	1723656	AT2G04900	4
3UTR	1736510	AT2G04940	23
3UTR	1799407	AT2G05060	3
3UTR	1823258	AT2G05100	11
3UTR	1894301	AT2G05210	1
3UTR	1894648	AT2G05220	43
3UTR	1967847	AT2G05380	1
3UTR	1968148	AT2G05380	2
CDS	1967790	AT2G05380	2
3UTR	2016599	AT2G05510	1
CDS	2026758	AT2G05520	11
3UTR	2034134	AT2G05540	58
intron	2033536	AT2G05540	1
3UTR	2056597	AT2G05580	10
3UTR	2056812	AT2G05580	1
CDS	2055980	AT2G05580	31
CDS	2056094	AT2G05580	64
CDS	2056468	AT2G05580	22
3UTR	2146361	AT2G05710	1
CDS	2143221	AT2G05710	1
CDS	2146332	AT2G05710	1
3UTR	2173724	AT2G05755	1
3UTR	2231928	AT2G05830	38
3UTR	2269704	AT2G05920	1
3UTR	2351907	AT2G06025	1
CDS	2351874	AT2G06025	1
3UTR	2352235	AT2G06040	1
3UTR	2428794	AT2G06210	1
3UTR	2428903	AT2G06210	2
CDS	2430070	AT2G06210	3
CDS	2431175	AT2G06210	1
CDS	2585413	AT2G06510	1
CDS	2764537	AT2G06850	1
intron	2921482	AT2G07042	16
CDS	2929612	AT2G07050	9
3UTR	2980807	AT2G07180	1
CDS	2981128	AT2G07180	2
CDS	2981247	AT2G07180	1
CDS	2982068	AT2G07180	3
CDS	3363032	AT2G07698	1
3UTR	3782070	AT2G09990	1
3UTR	4311141	AT2G10940	4
CDS	4311195	AT2G10940	6
CDS	4311968	AT2G10940	1
3UTR	4805776	AT2G11910	1
3UTR	4891718	AT2G12190	16
3UTR	5050419	AT2G12462	1
3UTR	5069575	AT2G12480	1
intron	5116987	AT2G12550	2
3UTR	5513186	AT2G13290	2
CDS	5512944	AT2G13290	1
CDS	5539796	AT2G13360	2
CDS	5539997	AT2G13360	1
CDS	5540491	AT2G13360	1
CDS	5540770	AT2G13360	19
intron	5540340	AT2G13360	1
3UTR	5544504	AT2G13370	1
CDS	5551980	AT2G13370	10
intron	5591093	AT2G13431	12
3UTR	5642991	AT2G13540	11
3UTR	5643054	AT2G13540	3
3UTR	5655376	AT2G13560	1
CDS	5654702	AT2G13560	1
3UTR	5655685	AT2G13570	1
3UTR	5706567	AT2G13690	1
CDS	5707013	AT2G13690	36
3UTR	5746778	AT2G13790	1
CDS	5909983	AT2G14050	1
CDS	5927573	AT2G14080	3
CDS	5955858	AT2G14120	1
3UTR	6154393	AT2G14460	1
3UTR	6273059	AT2G14660	1
3UTR	6273149	AT2G14660	1
3UTR	6300492	AT2G14720	8
3UTR	6312699	AT2G14740	5
intron	6314372	AT2G14750	1
3UTR	6361451	AT2G14820	1
3UTR	6393593	AT2G14880	1
3UTR	6400931	AT2G14890	3
3UTR	6451343	AT2G14960	1
3UTR	6451500	AT2G14960	1
3UTR	6512589	AT2G15042	3
3UTR	6536996	AT2G15080	1
3UTR	6609503	AT2G15220	1
3UTR	6642533	AT2G15280	1
3UTR	6655385	AT2G15310	8
3UTR	6666222	AT2G15320	6
CDS	6709700	AT2G15390	1
CDS	6710048	AT2G15390	1
3UTR	6763451	AT2G15490	1
3UTR	6777108	AT2G15530	1
3UTR	6791306	AT2G15570	1
3UTR	6812832	AT2G15620	2
CDS	6812639	AT2G15620	2
3UTR	6833996	AT2G15695	1
3UTR	6888546	AT2G15820	1
3UTR	6888727	AT2G15820	2
CDS	6919639	AT2G15880	1
3UTR	6920554	AT2G15890	1
CDS	6921325	AT2G15890	29
3UTR	6932719	AT2G15900	1
CDS	6929354	AT2G15900	1
CDS	6929391	AT2G15900	1
CDS	6929524	AT2G15900	2
CDS	6929771	AT2G15900	1
intron	6929900	AT2G15900	1
intron	6929947	AT2G15900	1
intron	6934355	AT2G15910	1
intron	6934826	AT2G15910	1
intron	6935031	AT2G15910	46
3UTR	6947604	AT2G15960	3
3UTR	6982719	AT2G16060	21
intron	7040391	AT2G16250	2
3UTR	7045655	AT2G16270	1
3UTR	7073691	AT2G16340	42
3UTR	7137119	AT2G16485	4
3UTR	7150567	AT2G16500	8
3UTR	7185327	AT2G16575	1
intron	7186392	AT2G16580	1
intron	7210259	AT2G16630	1
3UTR	7210998	AT2G16640	1
CDS	7213848	AT2G16640	1
CDS	7214373	AT2G16640	1
3UTR	7245838	AT2G16700	1
3UTR	7250180	AT2G16710	1
3UTR	7274529	AT2G16750	1
CDS	7284165	AT2G16790	2
3UTR	7304022	AT2G16860	2
CDS	7324356	AT2G16900	1
3UTR	7342179	AT2G16930	1
3UTR	7375721	AT2G16970	43
CDS	7387570	AT2G16990	1
intron	7384437	AT2G16990	1
intron	7384476	AT2G16990	1
3UTR	7403283	AT2G17033	7
CDS	7407924	AT2G17040	1
3UTR	7443362	AT2G17110	2
3UTR	7494689	AT2G17230	3
3UTR	7499192	AT2G17240	1
3UTR	7509837	AT2G17265	1
3UTR	7514957	AT2G17280	2
3UTR	7545553	AT2G17350	1
3UTR	7557810	AT2G17390	1
3UTR	7563669	AT2G17410	1
CDS	7560510	AT2G17410	1
intron	7565800	AT2G17420	3
intron	7568405	AT2G17430	1
3UTR	7584508	AT2G17470	1
3UTR	7590423	AT2G17480	1
3UTR	7620986	AT2G17520	1
3UTR	7630352	AT2G17540	1
3UTR	7630386	AT2G17540	1
3UTR	7630524	AT2G17540	1
3UTR	7630589	AT2G17540	2
CDS	7630786	AT2G17540	1
3UTR	7642296	AT2G17560	1
3UTR	7666557	AT2G17620	1
3UTR	7668071	AT2G17640	1
3UTR	7685336	AT2G17700	1
CDS	7685895	AT2G17700	1
3UTR	7705515	AT2G17730	1
3UTR	7742864	AT2G17820	1
3UTR	7759691	AT2G17850	18
3UTR	7764070	AT2G17870	1
3UTR	7764118	AT2G17870	1
3UTR	7766992	AT2G17880	1
CDS	7785632	AT2G17930	1
CDS	7796062	AT2G17930	1
3UTR	7818893	AT2G17970	3
3UTR	7822137	AT2G17972	1
CDS	7821807	AT2G17972	14
3UTR	7822197	AT2G17975	1
3UTR	7826463	AT2G17980	13
CDS	7825766	AT2G17980	1
3UTR	7828777	AT2G17990	1
5UTR	7842228	AT2G18040	55
3UTR	7867616	AT2G18090	2
CDS	7864720	AT2G18090	1
3UTR	7920629	AT2G18196	1
3UTR	7931979	AT2G18230	1
intron	7941109	AT2G18250	1
3UTR	7943327	AT2G18260	1
3UTR	7952734	AT2G18300	1
3UTR	7969066	AT2G18330	4
intron	7981199	AT2G18370	1
3UTR	8003109	AT2G18465	10
3UTR	8009208	AT2G18480	1
3UTR	8009484	AT2G18480	1
intron	8050034	AT2G18550	1
CDS	8060817	AT2G18560	1
CDS	8064663	AT2G18570	1
3UTR	8073297	AT2G18600	1
3UTR	8086649	AT2G18650	1
3UTR	8094753	AT2G18670	1
3UTR	8094976	AT2G18670	2
3UTR	8112060	AT2G18700	3
3UTR	8121995	AT2G18730	1
CDS	8119748	AT2G18730	1
3UTR	8128534	AT2G18750	1
3UTR	8144458	AT2G18790	1
CDS	8143998	AT2G18790	7
3UTR	8160053	AT2G18840	5
3UTR	8188197	AT2G18900	1
3UTR	8203785	AT2G18940	6
CDS	8205207	AT2G18940	8
CDS	8227251	AT2G18960	3
intron	8222072	AT2G18960	1
intron	8224479	AT2G18960	1
3UTR	8265037	AT2G19090	1
3UTR	8265089	AT2G19090	1
3UTR	8265117	AT2G19090	1
3UTR	8307652	AT2G19150	1
3UTR	8314004	AT2G19170	4
intron	8364923	AT2G19280	1
intron	8394806	AT2G19390	2
3UTR	8417777	AT2G19430	2
3UTR	8441048	AT2G19480	1
3UTR	8441235	AT2G19480	2
CDS	8440726	AT2G19480	2
3UTR	8459317	AT2G19520	1
CDS	8457059	AT2G19520	1
3UTR	8465872	AT2G19560	3
intron	8472953	AT2G19580	1
3UTR	8483784	AT2G19600	1
