region	coord	gene	WT PAT#
CDS	29585497	AT1G78650	2
intron	29592433	AT1G78670	2
intron	29592512	AT1G78670	1
3UTR	29596269	AT1G78680	2
3UTR	29598570	AT1G78690	1
3UTR	29598649	AT1G78690	1
CDS	29608693	AT1G78730	1
CDS	29608842	AT1G78730	2
3UTR	29612957	AT1G78750	1
3UTR	29612997	AT1G78750	1
3UTR	29613041	AT1G78750	2
CDS	29614130	AT1G78750	1
3UTR	29623726	AT1G78790	9
3UTR	29623758	AT1G78790	3
intron	29623809	AT1G78790	1
intron	29623844	AT1G78790	3
3UTR	29625549	AT1G78800	1
3UTR	29625660	AT1G78800	11
3UTR	29625825	AT1G78800	1
3UTR	29628275	AT1G78810	1
3UTR	29628312	AT1G78810	13
CDS	29628888	AT1G78810	1
3UTR	29637004	AT1G78830	4
3UTR	29642025	AT1G78850	6
3UTR	29652288	AT1G78870	1
intron	29653356	AT1G78880	1
3UTR	29658146	AT1G78890	2
3UTR	29664800	AT1G78900	3
3UTR	29667550	AT1G78915	2
3UTR	29701169	AT1G78960	1
3UTR	29701262	AT1G78960	2
3UTR	29707840	AT1G78970	2
CDS	29703431	AT1G78970	1
intron	29706904	AT1G78970	1
3UTR	29716893	AT1G79000	1
3UTR	29724985	AT1G79010	4
3UTR	29727126	AT1G79020	4
3UTR	29727189	AT1G79020	1
3UTR	29743571	AT1G79060	3
intron	29745066	AT1G79070	1
3UTR	29749113	AT1G79090	1
CDS	29749624	AT1G79090	1
3UTR	29764088	AT1G79120	2
3UTR	29772587	AT1G79150	3
3UTR	29772639	AT1G79150	2
3UTR	29779685	AT1G79160	1
3UTR	29779797	AT1G79160	2
3UTR	29787726	AT1G79180	1
3UTR	29794174	AT1G79190	28
3UTR	29795913	AT1G79200	2
3UTR	29795939	AT1G79200	1
3UTR	29796016	AT1G79200	5
3UTR	29795989	AT1G79210	4
3UTR	29803988	AT1G79230	1
3UTR	29814356	AT1G79260	2
CDS	29824213	AT1G79280	1
3UTR	29835553	AT1G79310	9
3UTR	29835656	AT1G79310	1
CDS	29834162	AT1G79310	2
CDS	29843550	AT1G79340	2
CDS	29843700	AT1G79340	8
3UTR	29867794	AT1G79410	2
3UTR	29867849	AT1G79410	1
3UTR	29867880	AT1G79410	8
3UTR	29867937	AT1G79410	1
3UTR	29867965	AT1G79410	1
CDS	29868356	AT1G79410	1
3UTR	29877288	AT1G79430	1
3UTR	29890146	AT1G79450	18
3UTR	29897767	AT1G79480	1
3UTR	29915844	AT1G79530	1
3UTR	29915943	AT1G79530	60
3UTR	29915991	AT1G79530	8
3UTR	29920035	AT1G79540	4
3UTR	29920106	AT1G79540	1
3UTR	29920241	AT1G79540	1
3UTR	29932676	AT1G79560	1
3UTR	29932528	AT1G79570	1
3UTR	29932577	AT1G79570	7
3UTR	29948380	AT1G79590	1
3UTR	29948478	AT1G79590	1
3UTR	29948564	AT1G79590	3
3UTR	29949886	AT1G79600	1
3UTR	29952878	AT1G79610	1
3UTR	29952914	AT1G79610	1
3UTR	29952986	AT1G79610	1
intron	29964527	AT1G79630	1
3UTR	29976837	AT1G79660	1
CDS	29977116	AT1G79670	1
3UTR	29979985	AT1G79680	19
3UTR	29980041	AT1G79680	2
CDS	29981671	AT1G79680	1
3UTR	29990324	AT1G79690	13
3UTR	29990356	AT1G79690	1
3UTR	29990256	AT1G79700	2
3UTR	29997177	AT1G79710	1
CDS	29996874	AT1G79710	2
3UTR	29997067	AT1G79720	2
3UTR	29997094	AT1G79720	2
3UTR	29997137	AT1G79720	23
intron	30002573	AT1G79730	3
3UTR	30004241	AT1G79740	5
3UTR	30016832	AT1G79790	1
3UTR	30019323	AT1G79800	2
3UTR	30022356	AT1G79820	11
3UTR	30022411	AT1G79820	1
CDS	30029225	AT1G79830	1
3UTR	30045952	AT1G79880	3
3UTR	30052180	AT1G79900	1
intron	30055910	AT1G79910	1
3UTR	30079660	AT1G79950	3
3UTR	30096793	AT1G80000	1
CDS	30094875	AT1G80000	1
CDS	30099457	AT1G80010	1
3UTR	30111466	AT1G80050	1
intron	30112821	AT1G80050	1
3UTR	30127909	AT1G80080	9
3UTR	30140050	AT1G80120	1
3UTR	30140114	AT1G80120	3
3UTR	30140271	AT1G80120	1
CDS	30141369	AT1G80130	1
3UTR	30150002	AT1G80150	1
3UTR	30152191	AT1G80160	2
3UTR	30163128	AT1G80210	3
3UTR	30169469	AT1G80230	16
3UTR	30169504	AT1G80230	6
3UTR	30169564	AT1G80230	3
CDS	30175103	AT1G80245	2
intron	30179577	AT1G80260	1
3UTR	30194563	AT1G80300	2
3UTR	30198021	AT1G80320	3
CDS	30208986	AT1G80360	1
3UTR	30227760	AT1G80410	2
CDS	30229672	AT1G80410	1
3UTR	30243158	AT1G80440	2
3UTR	30243932	AT1G80450	11
3UTR	30244098	AT1G80450	1
intron	30264622	AT1G80490	1
3UTR	30274892	AT1G80510	7
3UTR	30277985	AT1G80530	2
3UTR	30284978	AT1G80550	26
3UTR	30292296	AT1G80570	3
3UTR	30296035	AT1G80590	1
3UTR	30300855	AT1G80610	4
3UTR	30301057	AT1G80610	3
intron	30303254	AT1G80610	1
3UTR	30314323	AT1G80640	10
3UTR	30314401	AT1G80640	2
3UTR	30314430	AT1G80640	1
3UTR	30328692	AT1G80680	3
3UTR	30328765	AT1G80680	27
3UTR	30328858	AT1G80680	1
3UTR	30329080	AT1G80690	1
3UTR	30329113	AT1G80690	1
intron	30332505	AT1G80700	1
3UTR	30339266	AT1G80730	1
intron	30351253	AT1G80760	1
CDS	30360987	AT1G80790	1
3UTR	30372594	AT1G80820	7
3UTR	30372661	AT1G80820	41
3UTR	30372777	AT1G80830	3
3UTR	30372924	AT1G80830	1
3UTR	30373014	AT1G80830	4
CDS	30373511	AT1G80830	1
3UTR	30385582	AT1G80840	1
CDS	30384502	AT1G80840	1
CDS	30385323	AT1G80840	1
3UTR	30398163	AT1G80890	1
3UTR	30398208	AT1G80890	1
3UTR	30398154	AT1G80900	23
3UTR	30405318	AT1G80930	3
3UTR	30405618	AT1G80930	1
3UTR	30405645	AT1G80930	1
3UTR	30412058	AT1G80940	3
3UTR	30412149	AT1G80940	4
intron	30411302	AT1G80940	1
intron	30422989	AT1G80980	1
3UTR	79206	AT2G01080	1
3UTR	79274	AT2G01080	2
intron	78786	AT2G01080	3
CDS	82768	AT2G01100	5
3UTR	88157	AT2G01120	1
3UTR	101421	AT2G01150	1
3UTR	104847	AT2G01175	4
3UTR	105298	AT2G01175	2
3UTR	117738	AT2G01190	3
3UTR	126348	AT2G01220	4
intron	125760	AT2G01220	1
3UTR	135183	AT2G01260	1
3UTR	142439	AT2G01270	1
3UTR	149048	AT2G01290	1
3UTR	151044	AT2G01300	1
3UTR	151105	AT2G01300	33
3UTR	151186	AT2G01300	1
3UTR	158260	AT2G01330	8
3UTR	165319	AT2G01340	2
3UTR	175227	AT2G01400	17
3UTR	187632	AT2G01430	17
3UTR	187705	AT2G01430	2
intron	188981	AT2G01430	1
CDS	200786	AT2G01450	1
3UTR	211918	AT2G01470	1
3UTR	220807	AT2G01480	1
3UTR	223345	AT2G01490	210
3UTR	237220	AT2G01520	5
3UTR	237253	AT2G01520	1
intron	236316	AT2G01520	1
3UTR	240444	AT2G01530	4
3UTR	240493	AT2G01530	352
3UTR	267400	AT2G01590	1
3UTR	272589	AT2G01600	2
intron	270152	AT2G01600	1
3UTR	279325	AT2G01620	20
3UTR	284220	AT2G01640	2
CDS	286328	AT2G01650	4
intron	290990	AT2G01660	1
3UTR	296408	AT2G01670	2
3UTR	296685	AT2G01670	4
3UTR	296833	AT2G01670	1
CDS	297019	AT2G01670	1
3UTR	308452	AT2G01680	2
3UTR	308566	AT2G01680	1
3UTR	308591	AT2G01680	1
CDS	308408	AT2G01680	5
3UTR	308634	AT2G01690	1
CDS	311538	AT2G01690	1
3UTR	316989	AT2G01710	20
3UTR	317059	AT2G01710	1
3UTR	316916	AT2G01720	1
3UTR	317068	AT2G01720	44
3UTR	326012	AT2G01735	1
CDS	325881	AT2G01735	4
3UTR	325956	AT2G01740	5
CDS	326558	AT2G01740	1
3UTR	332007	AT2G01750	1
3UTR	334684	AT2G01760	10
3UTR	357560	AT2G01820	1
3UTR	363111	AT2G01830	2
3UTR	389850	AT2G01860	1
3UTR	389749	AT2G01870	2
3UTR	391439	AT2G01880	13
3UTR	414969	AT2G01905	1
3UTR	421602	AT2G01913	2
3UTR	427130	AT2G01930	1
3UTR	427214	AT2G01930	1
3UTR	427247	AT2G01930	2
3UTR	440630	AT2G01950	4
3UTR	440740	AT2G01950	2
CDS	441045	AT2G01950	1
CDS	441594	AT2G01950	1
3UTR	463303	AT2G01980	4
3UTR	465006	AT2G01990	1
intron	476284	AT2G02010	1
3UTR	481137	AT2G02020	1
3UTR	481162	AT2G02020	1
CDS	480075	AT2G02020	1
3UTR	491870	AT2G02050	1
3UTR	491995	AT2G02050	7
intron	490515	AT2G02050	1
intron	490547	AT2G02050	1
intron	496995	AT2G02060	24
3UTR	509206	AT2G02070	1
3UTR	509389	AT2G02070	2
intron	519577	AT2G02080	1
intron	520730	AT2G02080	1
5UTR	556086	AT2G02160	67
3UTR	563315	AT2G02180	4
3UTR	583885	AT2G02220	1
3UTR	583985	AT2G02220	5
3UTR	584026	AT2G02220	1
CDS	584520	AT2G02220	1
CDS	585175	AT2G02220	1
CDS	590569	AT2G02230	2
CDS	590632	AT2G02230	2
3UTR	594433	AT2G02250	5
3UTR	606186	AT2G02300	1
3UTR	608432	AT2G02310	1
3UTR	608616	AT2G02310	1
3UTR	608658	AT2G02310	7
3UTR	608740	AT2G02310	1
CDS	608939	AT2G02310	1
3UTR	615816	AT2G02340	1
intron	618689	AT2G02350	1
3UTR	619358	AT2G02360	35
3UTR	623282	AT2G02370	8
3UTR	623345	AT2G02370	10
3UTR	631266	AT2G02400	1
3UTR	631322	AT2G02400	2
CDS	631612	AT2G02400	1
intron	638159	AT2G02440	1
3UTR	650704	AT2G02450	2
CDS	648234	AT2G02450	1
3UTR	654664	AT2G02470	11
3UTR	665463	AT2G02480	1
3UTR	665519	AT2G02480	3
3UTR	665562	AT2G02480	1
3UTR	674656	AT2G02510	11
3UTR	697439	AT2G02560	1
3UTR	697495	AT2G02560	4
3UTR	703789	AT2G02580	1
3UTR	706608	AT2G02590	20
3UTR	706662	AT2G02590	1
3UTR	712833	AT2G02610	4
CDS	718781	AT2G02620	1
3UTR	725585	AT2G02630	1
CDS	746322	AT2G02680	1
CDS	747213	AT2G02680	1
CDS	747310	AT2G02680	1
intron	747891	AT2G02680	1
intron	748179	AT2G02680	2
3UTR	775248	AT2G02760	5
3UTR	775281	AT2G02760	2
3UTR	775444	AT2G02770	8
3UTR	775482	AT2G02770	1
CDS	776495	AT2G02770	1
3UTR	791097	AT2G02790	3
CDS	826747	AT2G02850	1
3UTR	828251	AT2G02860	3
3UTR	843344	AT2G02880	1
3UTR	843369	AT2G02880	2
CDS	841644	AT2G02880	1
intron	842250	AT2G02880	1
3UTR	851142	AT2G02930	15
3UTR	862002	AT2G02955	1
3UTR	870386	AT2G02980	7
3UTR	870459	AT2G02980	1
CDS	870279	AT2G02980	1
3UTR	881788	AT2G03010	1
3UTR	899742	AT2G03050	1
3UTR	899789	AT2G03050	4
3UTR	899868	AT2G03050	14
3UTR	899994	AT2G03050	4
3UTR	903836	AT2G03060	1
3UTR	940086	AT2G03120	14
3UTR	940289	AT2G03120	49
3UTR	940414	AT2G03120	1
CDS	944527	AT2G03140	1
intron	943511	AT2G03140	1
intron	943540	AT2G03140	1
CDS	956844	AT2G03150	1
3UTR	970314	AT2G03220	37
3UTR	973373	AT2G03240	1
3UTR	973409	AT2G03240	4
3UTR	973597	AT2G03240	1
3UTR	987948	AT2G03260	2
CDS	994950	AT2G03270	2
CDS	994989	AT2G03270	1
3UTR	1000708	AT2G03290	4
3UTR	1014205	AT2G03330	2
3UTR	1014303	AT2G03330	1
intron	1023638	AT2G03360	1
3UTR	1035106	AT2G03410	3
3UTR	1034878	AT2G03420	1
3UTR	1036015	AT2G03430	5
3UTR	1039153	AT2G03440	2
3UTR	1043670	AT2G03450	8
3UTR	1045422	AT2G03470	16
3UTR	1045518	AT2G03470	4
3UTR	1045549	AT2G03470	2
3UTR	1065272	AT2G03505	4
3UTR	1065425	AT2G03505	1
3UTR	1073560	AT2G03530	1
3UTR	1073587	AT2G03530	7
3UTR	1073627	AT2G03530	6
CDS	1073172	AT2G03530	1
3UTR	1096919	AT2G03590	4
3UTR	1096969	AT2G03590	2
3UTR	1100416	AT2G03620	5
intron	1105133	AT2G03640	2
3UTR	1117434	AT2G03667	1
CDS	1116642	AT2G03667	1
3UTR	1120437	AT2G03670	5
intron	1119043	AT2G03670	1
3UTR	1122036	AT2G03690	2
3UTR	1131782	AT2G03710	1
3UTR	1133380	AT2G03720	5
3UTR	1137634	AT2G03730	2
3UTR	1142754	AT2G03740	1
3UTR	1147872	AT2G03750	3
CDS	1148204	AT2G03750	1
3UTR	1149408	AT2G03760	2
3UTR	1152459	AT2G03780	1
3UTR	1158864	AT2G03800	2
3UTR	1158945	AT2G03800	15
3UTR	1164451	AT2G03810	1
CDS	1165487	AT2G03820	3
CDS	1165543	AT2G03820	2
3UTR	1172317	AT2G03830	1
3UTR	1172379	AT2G03830	1
3UTR	1181440	AT2G03870	6
3UTR	1183771	AT2G03880	1
CDS	1181816	AT2G03880	1
CDS	1181900	AT2G03880	2
3UTR	1188402	AT2G03890	1
3UTR	1188513	AT2G03890	1
3UTR	1262598	AT2G03980	2
3UTR	1262640	AT2G03980	2
CDS	1285574	AT2G04030	1
3UTR	1332577	AT2G04038	1
3UTR	1334543	AT2G04039	19
3UTR	1334574	AT2G04039	4
CDS	1334159	AT2G04039	1
3UTR	1401285	AT2G04160	12
intron	1405167	AT2G04160	1
intron	1405330	AT2G04160	1
intron	1405866	AT2G04160	1
3UTR	1427480	AT2G04190	2
3UTR	1455294	AT2G04235	1
3UTR	1455326	AT2G04235	1
3UTR	1461555	AT2G04240	2
3UTR	1461698	AT2G04240	1
3UTR	1461730	AT2G04240	3
3UTR	1501430	AT2G04305	25
CDS	1517606	AT2G04350	1
CDS	1518749	AT2G04350	1
3UTR	1519469	AT2G04360	1
3UTR	1525320	AT2G04378	8
3UTR	1525417	AT2G04378	1
3UTR	1525511	AT2G04378	1
3UTR	1525538	AT2G04378	4
CDS	1525870	AT2G04378	2
CDS	1526206	AT2G04380	1
3UTR	1541212	AT2G04430	5
3UTR	1565010	AT2G04495	39
3UTR	1565064	AT2G04495	3
3UTR	1565149	AT2G04495	1
3UTR	1581415	AT2G04540	8
3UTR	1610335	AT2G04620	2
CDS	1619387	AT2G04630	3
3UTR	1621796	AT2G04650	3
3UTR	1621853	AT2G04650	6
3UTR	1629140	AT2G04660	1
3UTR	1629181	AT2G04660	1
3UTR	1629276	AT2G04660	1
3UTR	1642205	AT2G04680	2
CDS	1641565	AT2G04680	1
CDS	1642119	AT2G04680	1
3UTR	1648587	AT2G04700	1
3UTR	1659690	AT2G04740	18
3UTR	1659768	AT2G04740	1
3UTR	1678418	AT2G04780	110
3UTR	1680443	AT2G04790	4
3UTR	1687288	AT2G04800	1
CDS	1700065	AT2G04842	1
3UTR	1702201	AT2G04845	4
3UTR	1702239	AT2G04845	5
3UTR	1705834	AT2G04850	1
intron	1706285	AT2G04852	1
3UTR	1714833	AT2G04865	1
3UTR	1714920	AT2G04865	1
3UTR	1720366	AT2G04880	1
3UTR	1799434	AT2G05060	1
3UTR	1841993	AT2G05120	4
3UTR	1873708	AT2G05170	1
3UTR	1873851	AT2G05170	12
3UTR	1876944	AT2G05180	1
3UTR	1894244	AT2G05210	1
3UTR	1894483	AT2G05220	6
3UTR	1919975	AT2G05260	1
3UTR	1920005	AT2G05260	2
3UTR	1920043	AT2G05260	3
CDS	1919089	AT2G05260	1
CDS	1919330	AT2G05260	3
3UTR	1933345	AT2G05310	2
intron	1953129	AT2G05350	1
5UTR	1977354	AT2G05410	1
intron	2023498	AT2G05518	1
3UTR	2030516	AT2G05530	1
3UTR	2034170	AT2G05540	32
3UTR	2069177	AT2G05590	4
3UTR	2081107	AT2G05620	1
3UTR	2087148	AT2G05632	2
3UTR	2087185	AT2G05632	2
3UTR	2087355	AT2G05632	1
3UTR	2173766	AT2G05755	1
3UTR	2173834	AT2G05755	1
3UTR	2287449	AT2G05940	1
CDS	2287883	AT2G05940	1
3UTR	2325005	AT2G05990	1
3UTR	2338722	AT2G06010	6
3UTR	2338802	AT2G06010	4
CDS	2359271	AT2G06050	1
intron	2361548	AT2G06050	2
3UTR	2459817	AT2G06255	4
intron	2458146	AT2G06255	1
intron	2459033	AT2G06255	1
3UTR	2587735	AT2G06510	3
intron	2585635	AT2G06510	1
3UTR	2587678	AT2G06520	1
3UTR	2765775	AT2G06850	1
CDS	2765465	AT2G06850	1
3UTR	2842242	AT2G06925	2
3UTR	2901843	AT2G07000	1
intron	2921399	AT2G07042	1
3UTR	2930729	AT2G07050	1
intron	2926882	AT2G07050	1
3UTR	3046761	AT2G07340	4
intron	3050014	AT2G07360	1
3UTR	3522580	AT2G07680	6
3UTR	3522609	AT2G07680	3
CDS	3519508	AT2G07680	1
3UTR	3584239	AT2G07760	21
3UTR	3303822	AT2G07774	10
3UTR	3782037	AT2G09990	5
3UTR	4310330	AT2G10940	1
3UTR	4315429	AT2G10950	24
CDS	4316222	AT2G10950	1
3UTR	4341093	AT2G11000	2
intron	4342765	AT2G11000	10
3UTR	4621656	AT2G11520	5
3UTR	4622777	AT2G11522	10
3UTR	4662663	AT2G11626	1
intron	4787733	AT2G11851	1
3UTR	4804346	AT2G11890	19
3UTR	4890093	AT2G12170	2
3UTR	4891580	AT2G12190	1
3UTR	4891656	AT2G12190	1
3UTR	5049665	AT2G12461	1
3UTR	5167053	AT2G12646	1
3UTR	5391909	AT2G13100	1
3UTR	5391981	AT2G13100	8
3UTR	5392043	AT2G13100	20
CDS	5391467	AT2G13100	1
3UTR	5513255	AT2G13290	14
CDS	5540148	AT2G13360	1
intron	5550742	AT2G13370	1
3UTR	5593087	AT2G13440	1
intron	5640007	AT2G13540	1
CDS	5643267	AT2G13542	1
CDS	5649076	AT2G13550	1
CDS	5651795	AT2G13560	1
3UTR	5673739	AT2G13610	1
3UTR	5673771	AT2G13610	1
CDS	5707113	AT2G13690	1
3UTR	5746737	AT2G13790	22
3UTR	5746823	AT2G13790	2
intron	5744586	AT2G13790	1
CDS	5833531	AT2G13900	1
3UTR	5861208	AT2G13960	1
3UTR	5861297	AT2G13960	1
3UTR	5908298	AT2G14045	1
3UTR	5908374	AT2G14045	40
CDS	5907143	AT2G14045	15
3UTR	5914097	AT2G14050	1
intron	5909947	AT2G14050	1
intron	5912006	AT2G14050	1
3UTR	5923108	AT2G14070	7
3UTR	5929839	AT2G14080	1
CDS	5927122	AT2G14080	6
CDS	5928873	AT2G14080	1
CDS	5928922	AT2G14080	2
3UTR	5932368	AT2G14095	1
3UTR	5934564	AT2G14100	4
3UTR	5934590	AT2G14100	1
3UTR	5953212	AT2G14110	2
CDS	5957526	AT2G14120	1
3UTR	5977455	AT2G14170	2
CDS	5979374	AT2G14170	1
3UTR	6023857	AT2G14210	1
3UTR	6034856	AT2G14247	1
3UTR	6041003	AT2G14255	8
3UTR	6041071	AT2G14255	4
intron	6038465	AT2G14255	2
intron	6043254	AT2G14260	1
3UTR	6052508	AT2G14285	1
3UTR	6057223	AT2G14290	1
3UTR	6057294	AT2G14290	1
3UTR	6057357	AT2G14290	14
3UTR	6057394	AT2G14290	1
3UTR	6154429	AT2G14460	2
3UTR	6154512	AT2G14460	25
3UTR	6170902	AT2G14510	1
3UTR	6170970	AT2G14510	6
3UTR	6171023	AT2G14510	5
3UTR	6182140	AT2G14520	1
3UTR	6241734	AT2G14610	1
3UTR	6241760	AT2G14610	1
3UTR	6241811	AT2G14610	33
3UTR	6246214	AT2G14620	1
3UTR	6246260	AT2G14620	1
3UTR	6273179	AT2G14660	3
CDS	6272815	AT2G14660	2
intron	6294220	AT2G14700	9
3UTR	6315791	AT2G14750	2
CDS	6314303	AT2G14750	1
3UTR	6361506	AT2G14820	1
3UTR	6371035	AT2G14835	7
3UTR	6387482	AT2G14850	2
3UTR	6387565	AT2G14850	88
3UTR	6387542	AT2G14860	2
3UTR	6387622	AT2G14860	8
3UTR	6393336	AT2G14880	5
3UTR	6393550	AT2G14880	1
3UTR	6405137	AT2G14900	8
3UTR	6406549	AT2G14910	1
3UTR	6406609	AT2G14910	8
3UTR	6406745	AT2G14910	2
intron	6407811	AT2G14910	2
3UTR	6419296	AT2G14920	1
3UTR	6419336	AT2G14920	1
3UTR	6451612	AT2G14960	1
3UTR	6536932	AT2G15080	1
3UTR	6537078	AT2G15080	4
5UTR	6533689	AT2G15080	2
CDS	6533794	AT2G15080	1
3UTR	6543892	AT2G15090	29
3UTR	6609613	AT2G15220	13
CDS	6609017	AT2G15220	1
3UTR	6615386	AT2G15230	2
3UTR	6615484	AT2G15230	2
3UTR	6615576	AT2G15240	72
3UTR	6615671	AT2G15240	9
3UTR	6615747	AT2G15240	89
3UTR	6615894	AT2G15240	2
intron	6632668	AT2G15260	1
5UTR	6642155	AT2G15280	1
5UTR	6642212	AT2G15280	6
5UTR	6642242	AT2G15280	1
5UTR	6642343	AT2G15280	2
3UTR	6642235	AT2G15290	1
3UTR	6642320	AT2G15290	43
3UTR	6655544	AT2G15310	1
3UTR	6697844	AT2G15370	1
3UTR	6697913	AT2G15370	1
CDS	6709785	AT2G15390	1
intron	6734954	AT2G15430	1
3UTR	6760634	AT2G15480	1
3UTR	6760720	AT2G15480	2
intron	6773213	AT2G15530	24
3UTR	6807617	AT2G15610	1
CDS	6810743	AT2G15620	1
3UTR	6816512	AT2G15630	1
3UTR	6831717	AT2G15680	6
3UTR	6831604	AT2G15690	22
3UTR	6831749	AT2G15690	1
3UTR	6865556	AT2G15760	1
3UTR	6865687	AT2G15760	2
3UTR	6865751	AT2G15760	1
3UTR	6888604	AT2G15820	2
3UTR	6888661	AT2G15820	6
3UTR	6894551	AT2G15830	2
CDS	6919247	AT2G15880	1
3UTR	6920414	AT2G15890	1
3UTR	6920739	AT2G15890	1
3UTR	6920780	AT2G15890	1
3UTR	6920848	AT2G15890	1
3UTR	6932686	AT2G15900	1
3UTR	6932786	AT2G15900	12
3UTR	6932751	AT2G15910	1
intron	6934166	AT2G15910	1
intron	6934207	AT2G15910	1
intron	6934869	AT2G15910	1
3UTR	6951012	AT2G15980	1
3UTR	6951088	AT2G15980	1
3UTR	6951117	AT2G15980	1
3UTR	6951160	AT2G15980	2
CDS	6951717	AT2G15980	1
3UTR	6959149	AT2G16005	19
3UTR	6959194	AT2G16005	23
5UTR	6973637	AT2G16018	172
3UTR	6986928	AT2G16090	1
3UTR	6986994	AT2G16090	9
3UTR	6987023	AT2G16090	3
3UTR	6987284	AT2G16090	1
intron	7002956	AT2G16130	1
3UTR	7039473	AT2G16250	1
3UTR	7052840	AT2G16280	5
CDS	7051946	AT2G16280	1
CDS	7052052	AT2G16280	1
CDS	7082252	AT2G16370	1
intron	7087246	AT2G16380	1
3UTR	7095789	AT2G16385	1
3UTR	7101390	AT2G16390	1
5UTR	7103473	AT2G16400	32
intron	7103271	AT2G16400	1
3UTR	7105634	AT2G16405	1
3UTR	7105663	AT2G16405	1
3UTR	7105772	AT2G16405	18
intron	7142457	AT2G16485	1
5UTR	7153291	AT2G16500	1
3UTR	7159698	AT2G16510	4
3UTR	7162933	AT2G16530	5
3UTR	7163021	AT2G16530	7
3UTR	7163077	AT2G16530	4
3UTR	7163177	AT2G16530	8
3UTR	7180202	AT2G16570	7
3UTR	7180255	AT2G16570	4
intron	7186185	AT2G16580	1
3UTR	7200259	AT2G16595	1
3UTR	7200298	AT2G16595	52
3UTR	7211083	AT2G16630	1
3UTR	7215818	AT2G16650	76
3UTR	7215878	AT2G16650	2
3UTR	7245804	AT2G16700	1
CDS	7245359	AT2G16700	1
3UTR	7255522	AT2G16720	13
3UTR	7255603	AT2G16720	9
3UTR	7255648	AT2G16720	5
CDS	7255689	AT2G16720	1
CDS	7255727	AT2G16720	1
CDS	7255755	AT2G16720	2
3UTR	7268861	AT2G16740	7
3UTR	7274810	AT2G16750	1
3UTR	7277236	AT2G16760	41
3UTR	7281028	AT2G16770	1
3UTR	7281389	AT2G16780	1
3UTR	7303438	AT2G16850	3
3UTR	7303975	AT2G16860	13
CDS	7309140	AT2G16870	1
3UTR	7334137	AT2G16920	1
CDS	7337269	AT2G16920	1
3UTR	7361092	AT2G16950	4
3UTR	7361143	AT2G16950	6
3UTR	7361202	AT2G16950	1
intron	7357119	AT2G16950	1
intron	7376991	AT2G16980	1
3UTR	7400879	AT2G17030	21
3UTR	7400938	AT2G17030	13
3UTR	7400976	AT2G17030	4
3UTR	7403341	AT2G17033	1
3UTR	7403613	AT2G17033	1
3UTR	7403695	AT2G17033	1
3UTR	7408271	AT2G17040	6
CDS	7407411	AT2G17040	1
3UTR	7426993	AT2G17060	4
3UTR	7427118	AT2G17060	2
3UTR	7430808	AT2G17070	5
3UTR	7433255	AT2G17080	1
3UTR	7460721	AT2G17120	3
3UTR	7460826	AT2G17120	4
CDS	7460324	AT2G17120	1
intron	7459896	AT2G17120	1
intron	7459938	AT2G17120	1
3UTR	7466565	AT2G17140	1
CDS	7463529	AT2G17140	1
intron	7469465	AT2G17150	2
intron	7469505	AT2G17150	1
intron	7469549	AT2G17150	2
3UTR	7481825	AT2G17200	1
intron	7482458	AT2G17200	1
3UTR	7487793	AT2G17220	1
3UTR	7508359	AT2G17260	4
3UTR	7508446	AT2G17260	1
3UTR	7512418	AT2G17270	1
3UTR	7512445	AT2G17270	1
3UTR	7515115	AT2G17280	1
3UTR	7519456	AT2G17290	2
3UTR	7519553	AT2G17290	6
3UTR	7541486	AT2G17340	5
3UTR	7541528	AT2G17340	2
CDS	7543172	AT2G17340	1
3UTR	7552189	AT2G17370	1
3UTR	7555096	AT2G17380	1
3UTR	7563704	AT2G17410	1
3UTR	7566399	AT2G17420	2
3UTR	7566526	AT2G17420	4
3UTR	7570843	AT2G17430	1
CDS	7572576	AT2G17440	2
3UTR	7573795	AT2G17442	1
CDS	7574273	AT2G17442	1
3UTR	7576596	AT2G17450	9
3UTR	7609032	AT2G17500	1
3UTR	7609243	AT2G17510	4
CDS	7618674	AT2G17520	1
3UTR	7628704	AT2G17530	1
3UTR	7628775	AT2G17530	2
3UTR	7628810	AT2G17530	3
3UTR	7628871	AT2G17530	3
3UTR	7634309	AT2G17550	6
3UTR	7642324	AT2G17560	1
3UTR	7650321	AT2G17580	10
3UTR	7651210	AT2G17590	1
3UTR	7668057	AT2G17630	5
3UTR	7676141	AT2G17670	3
3UTR	7680337	AT2G17680	1
CDS	7679499	AT2G17680	1
3UTR	7684135	AT2G17695	102
3UTR	7684189	AT2G17695	1
3UTR	7692969	AT2G17705	1
3UTR	7694684	AT2G17710	8
3UTR	7699596	AT2G17720	9
3UTR	7705556	AT2G17730	27
3UTR	7705751	AT2G17730	6
3UTR	7705782	AT2G17730	1
3UTR	7716352	AT2G17760	6
3UTR	7716504	AT2G17760	1
3UTR	7739410	AT2G17790	2
3UTR	7742923	AT2G17820	2
3UTR	7743007	AT2G17820	1
CDS	7743957	AT2G17820	1
3UTR	7755608	AT2G17830	4
3UTR	7755659	AT2G17840	150
intron	7756685	AT2G17840	1
intron	7756736	AT2G17840	1
3UTR	7759879	AT2G17850	1
3UTR	7759918	AT2G17850	2
3UTR	7763947	AT2G17870	2
3UTR	7773241	AT2G17900	1
3UTR	7784380	AT2G17930	1
3UTR	7819000	AT2G17970	3
3UTR	7822177	AT2G17972	5
3UTR	7822277	AT2G17972	2
