region	coord	gene	WT PAT#	Oxt6 PAT#
3UTR	11820871	AT1G32690	58	4
3UTR	11833844	AT1G32710	4	11
3UTR	11843258	AT1G32730	9	7
3UTR	11846180	AT1G32740	8	16
3UTR	11859383	AT1G32760	6	1
3UTR	11874928	AT1G32790	89	2
3UTR	11875004	AT1G32790	105	10
3UTR	11920446	AT1G32900	76	65
3UTR	11920534	AT1G32900	1	1
intron	11921366	AT1G32900	4	4
3UTR	11929285	AT1G32920	9918	8785
3UTR	11931699	AT1G32928	59	101
3UTR	11931797	AT1G32928	250	28
3UTR	11931844	AT1G32930	16	9
3UTR	11948540	AT1G32960	3	1
3UTR	11957279	AT1G32990	324	261
3UTR	11957388	AT1G32990	9	2
3UTR	11964775	AT1G33030	29	77
3UTR	11967804	AT1G33040	363	1120
3UTR	11967912	AT1G33040	2	3
3UTR	11967814	AT1G33050	49	10
3UTR	11975457	AT1G33060	18	15
3UTR	12008732	AT1G33110	38	20
3UTR	12008816	AT1G33110	4	1
3UTR	12012367	AT1G33120	414	806
3UTR	12024699	AT1G33140	810	1253
3UTR	12030486	AT1G33170	1	1
3UTR	12030596	AT1G33170	9	1
3UTR	12049981	AT1G33230	1	2
3UTR	12051551	AT1G33240	9	1
3UTR	12057391	AT1G33250	12	2
3UTR	12066275	AT1G33260	1	1
3UTR	12066324	AT1G33260	9	24
3UTR	12066377	AT1G33260	20	9
3UTR	12066425	AT1G33260	2	4
3UTR	12067989	AT1G33265	25	2
3UTR	12068083	AT1G33270	7	6
3UTR	12068252	AT1G33270	1	3
3UTR	12076125	AT1G33290	5	14
3UTR	12086500	AT1G33330	494	2753
3UTR	12088866	AT1G33340	14	2
3UTR	12095920	AT1G33360	1	1
3UTR	12099623	AT1G33390	7	10
3UTR	12104728	AT1G33400	14	13
3UTR	12109589	AT1G33410	2	1
3UTR	12127439	AT1G33440	19	28
3UTR	12127545	AT1G33440	9	52
3UTR	12150708	AT1G33490	13	1
3UTR	12157119	AT1G33520	74	38
3UTR	12157155	AT1G33520	419	618
CDS	12171387	AT1G33560	1	1
CDS	12171461	AT1G33560	8	1
3UTR	12179332	AT1G33590	91	3
3UTR	12182304	AT1G33600	22	3
3UTR	12182364	AT1G33600	14	1
3UTR	12208587	AT1G33680	27	2
3UTR	12208694	AT1G33700	3	1
3UTR	12238606	AT1G33760	49	1
3UTR	12238680	AT1G33760	19	1
3UTR	12244661	AT1G33780	170	9
3UTR	12260578	AT1G33790	19	36
3UTR	12262718	AT1G33800	100	4
3UTR	12266778	AT1G33810	10	4
3UTR	12269776	AT1G33811	27	12
3UTR	12269819	AT1G33811	130	88
3UTR	12269900	AT1G33811	152	83
3UTR	12269958	AT1G33811	2	19
CDS	12347684	AT1G33960	19	4
3UTR	12349477	AT1G33970	50	18
3UTR	12358008	AT1G33990	2	4
3UTR	12359600	AT1G34010	1	1
3UTR	12369144	AT1G34020	82	4
3UTR	12370104	AT1G34030	136	133
3UTR	12396420	AT1G34060	67	60
3UTR	12398517	AT1G34065	10	2
3UTR	12417175	AT1G34110	11	30
3UTR	12429693	AT1G34120	27	15
3UTR	12439437	AT1G34150	2	1
CDS	12443255	AT1G34160	2	3
intron	12445091	AT1G34170	82	116
3UTR	12462878	AT1G34210	6	9
3UTR	12462920	AT1G34220	23	36
3UTR	12473754	AT1G34245	12	2
3UTR	12491991	AT1G34260	1	1
3UTR	12492432	AT1G34270	3	6
3UTR	12506049	AT1G34300	53	76
3UTR	12506140	AT1G34300	3	3
3UTR	12534191	AT1G34340	21	62
3UTR	12552614	AT1G34370	818	446
CDS	12552023	AT1G34370	1	1
CDS	12552413	AT1G34370	2	9
3UTR	12587895	AT1G34430	67	3
3UTR	12606980	AT1G34470	28	40
3UTR	12638661	AT1G34540	1	2
3UTR	12646676	AT1G34550	13	2
3UTR	12663586	AT1G34580	1	1
3UTR	12687587	AT1G34630	4	5
3UTR	12687554	AT1G34640	26	11
3UTR	12736070	AT1G34750	46	7
3UTR	12748598	AT1G34780	33	23
3UTR	12853126	AT1G35140	316	75
3UTR	12877155	AT1G35180	14	12
3UTR	12892874	AT1G35190	55	2
3UTR	12896605	AT1G35210	17	1
3UTR	12896655	AT1G35210	93	2
3UTR	12914784	AT1G35220	32	7
3UTR	12932959	AT1G35250	6	2
3UTR	12933009	AT1G35250	2	16
3UTR	12936859	AT1G35260	8	1
3UTR	12936890	AT1G35260	6	3
3UTR	12936954	AT1G35260	7	2
3UTR	12966302	AT1G35330	7	1
3UTR	13027524	AT1G35420	75	134
3UTR	13027674	AT1G35420	1	6
3UTR	13042042	AT1G35460	8	1
3UTR	13051498	AT1G35470	119	94
3UTR	13074829	AT1G35510	28	31
intron	13078285	AT1G35515	2	3
intron	13079682	AT1G35515	40	8
3UTR	13115917	AT1G35560	3	1
3UTR	13115991	AT1G35560	1	1
3UTR	13158435	AT1G35620	117	7
3UTR	13197991	AT1G35660	4	1
3UTR	13208231	AT1G35670	108	4
3UTR	13210344	AT1G35680	5623	9601
3UTR	13227143	AT1G35720	2	93
CDS	13451638	AT1G36050	1	6
3UTR	13454527	AT1G36060	1	25
3UTR	13454562	AT1G36060	17	16
3UTR	13543932	AT1G36160	1	1
3UTR	13671012	AT1G36310	2	1
3UTR	13671058	AT1G36310	12	3
3UTR	13696051	AT1G36370	4	4
3UTR	13701560	AT1G36380	7	1
3UTR	13898449	AT1G36730	295	54
3UTR	13898572	AT1G36730	1	1
3UTR	14026919	AT1G36980	30	212
3UTR	14027220	AT1G36990	1	3
3UTR	14161851	AT1G37130	585	160
CDS	14160295	AT1G37130	1	1
3UTR	15603709	AT1G41830	554	3156
3UTR	15651052	AT1G41880	1	10
3UTR	15894434	AT1G42430	8	11
3UTR	15895305	AT1G42440	12	4
3UTR	15976777	AT1G42540	5	2
3UTR	16127212	AT1G42960	526	32
3UTR	16129682	AT1G42970	27794	242154
3UTR	16135935	AT1G42990	115	14
3UTR	16136048	AT1G42990	8	1
intron	16136749	AT1G42990	6	1
3UTR	16228356	AT1G43130	1	14
3UTR	16228536	AT1G43130	147	640
3UTR	16268783	AT1G43170	1056	323
3UTR	16275156	AT1G43190	44	6
3UTR	16275254	AT1G43190	14	4
3UTR	16308833	AT1G43245	7	1
3UTR	16398232	AT1G43560	5	2
3UTR	16410539	AT1G43580	111	18
3UTR	16425431	AT1G43620	2	1
3UTR	16425483	AT1G43620	1	2
3UTR	16443672	AT1G43650	2	1
3UTR	16443728	AT1G43650	7	3
3UTR	16470467	AT1G43670	265	165
3UTR	16482838	AT1G43690	29	5
3UTR	16486242	AT1G43700	111	21
3UTR	16486422	AT1G43710	80	30
3UTR	16579589	AT1G43800	1	1
3UTR	16579656	AT1G43800	2	7
3UTR	16579693	AT1G43800	13	264
3UTR	16621916	AT1G43850	43	341
3UTR	16621955	AT1G43850	2	22
3UTR	16622139	AT1G43860	81	161
3UTR	16622198	AT1G43860	2	39
3UTR	16648678	AT1G43890	10	1
intron	16648000	AT1G43890	2	4
3UTR	16655883	AT1G43910	8	2
3UTR	16708068	AT1G44000	85	42
3UTR	16764464	AT1G44100	28	4
3UTR	16774826	AT1G44110	4	1
3UTR	16796414	AT1G44170	101	1
3UTR	16796464	AT1G44170	1	1
3UTR	16834570	AT1G44350	268	13
3UTR	16848172	AT1G44414	2	1
3UTR	16848380	AT1G44446	3	2
3UTR	16848424	AT1G44446	2	1
3UTR	16873322	AT1G44575	1239	362
3UTR	16895283	AT1G44750	68	189
3UTR	16895454	AT1G44750	1	2
3UTR	16907620	AT1G44770	34	5
3UTR	16912168	AT1G44790	3	1
3UTR	16912273	AT1G44790	5	3
3UTR	16914115	AT1G44800	62	5
3UTR	16942526	AT1G44835	29	1
3UTR	16964980	AT1G44890	4	1
3UTR	16974642	AT1G44900	92	417
3UTR	16974689	AT1G44900	3	16
3UTR	16982936	AT1G44920	49	2547
3UTR	17001744	AT1G44960	26	14
3UTR	17011860	AT1G45000	3	1
3UTR	17022781	AT1G45015	1	1
3UTR	17033033	AT1G45050	5	5
3UTR	17033196	AT1G45050	13	18
3UTR	17075138	AT1G45145	697	57
3UTR	17077390	AT1G45150	2	1
3UTR	17083545	AT1G45160	41	31
3UTR	17083644	AT1G45160	8	17
3UTR	17169548	AT1G45230	2	36
CDS	17148378	AT1G45231	2	1
3UTR	17154795	AT1G45233	1	2
CDS	17166397	AT1G45249	2	23
3UTR	17172216	AT1G45332	1	2
3UTR	17172272	AT1G45332	1	1
3UTR	17193075	AT1G45688	2	1
3UTR	17193135	AT1G45688	57	3
3UTR	17200734	AT1G45976	18	4
3UTR	17236670	AT1G46480	1	1
3UTR	17265711	AT1G46768	19	1
3UTR	17265746	AT1G46768	3	1
3UTR	17265916	AT1G46768	1	1
3UTR	17276012	AT1G47056	31	109
3UTR	17282977	AT1G47128	226	35
3UTR	17302867	AT1G47210	1	4
3UTR	17308823	AT1G47240	5	1
3UTR	17321046	AT1G47250	1	2
3UTR	17321172	AT1G47260	10	10
3UTR	17328671	AT1G47270	22	13
3UTR	17328734	AT1G47270	1	3
3UTR	17331879	AT1G47278	3	14
3UTR	17339168	AT1G47290	1	1
3UTR	17339231	AT1G47290	40	7
3UTR	17344774	AT1G47310	83	36
CDS	17354187	AT1G47340	1	2
3UTR	17372537	AT1G47380	54	8
3UTR	17383459	AT1G47395	5	15
3UTR	17386187	AT1G47400	8	76
3UTR	17395608	AT1G47410	4	2
3UTR	17395538	AT1G47420	369	375
3UTR	17454237	AT1G47530	14	91
3UTR	17454361	AT1G47530	82	108
3UTR	17464055	AT1G47550	103	5
3UTR	17483446	AT1G47570	383	496
3UTR	17486455	AT1G47580	9	10
3UTR	17518191	AT1G47640	78	3
3UTR	17569242	AT1G47740	2	1
3UTR	17569295	AT1G47740	74	1
3UTR	17569306	AT1G47750	23	4
3UTR	17613072	AT1G47830	33	3
3UTR	17613151	AT1G47830	63	95
3UTR	17616158	AT1G47840	6	9
3UTR	17637835	AT1G47870	3	1
3UTR	17647141	AT1G47890	2	1
3UTR	17647217	AT1G47900	9	30
intron	17682304	AT1G47960	4	1
intron	17682333	AT1G47960	48	7
3UTR	17704178	AT1G48000	3	2
3UTR	17717142	AT1G48030	229	54
3UTR	17719771	AT1G48040	5	1
3UTR	17769786	AT1G48100	5	2
3UTR	17769926	AT1G48110	32	6
CDS	17771600	AT1G48110	43	277
3UTR	17773716	AT1G48120	13	17
3UTR	17781661	AT1G48130	39	21
3UTR	17796859	AT1G48200	8	1
3UTR	17801987	AT1G48210	106	46
3UTR	17808697	AT1G48230	28	388
3UTR	17808778	AT1G48230	141	103
3UTR	17808895	AT1G48230	92	200
3UTR	17809026	AT1G48240	78	105
3UTR	17809072	AT1G48240	1	9
3UTR	17813972	AT1G48260	7	1
3UTR	17827950	AT1G48270	2	2
3UTR	17827998	AT1G48270	36	35
3UTR	17837674	AT1G48280	9	63
3UTR	17848367	AT1G48300	17	65
3UTR	17848477	AT1G48300	45	6
3UTR	17848434	AT1G48310	7	4
3UTR	17854944	AT1G48320	55	12
3UTR	17864275	AT1G48330	11	4
3UTR	17864348	AT1G48330	5	1
3UTR	17868308	AT1G48350	7596	27490
3UTR	17873116	AT1G48360	1	1
3UTR	17877470	AT1G48380	26	2
3UTR	17886125	AT1G48410	94	75
3UTR	17902704	AT1G48430	501	668
3UTR	17908516	AT1G48440	341	80
3UTR	17908610	AT1G48450	90	114
3UTR	17921982	AT1G48490	70	1
3UTR	17942787	AT1G48520	2	2
3UTR	17950522	AT1G48540	244	251
3UTR	17950628	AT1G48550	20	1
3UTR	17955317	AT1G48570	20	17
3UTR	17969146	AT1G48598	4	1
3UTR	17969288	AT1G48598	142	93
3UTR	17973696	AT1G48620	59	22
3UTR	17973749	AT1G48620	259	416
3UTR	18036494	AT1G48750	92	4
3UTR	18036503	AT1G48760	16	1
3UTR	18043729	AT1G48790	25	18
3UTR	18043803	AT1G48790	13	17
3UTR	18043887	AT1G48790	2	1
3UTR	18059724	AT1G48830	349	72
3UTR	18064924	AT1G48850	5	3
3UTR	18065013	AT1G48850	58	56
3UTR	18068729	AT1G48860	256	266
3UTR	18072159	AT1G48870	18	59
3UTR	18084781	AT1G48900	74	69
3UTR	18084891	AT1G48900	37	410
3UTR	18101585	AT1G48920	4721	11734
3UTR	18110291	AT1G48950	27	1
3UTR	18113671	AT1G48970	5	1
3UTR	18123405	AT1G49000	38	6
3UTR	18138939	AT1G49032	41	1
3UTR	18153315	AT1G49050	7	20
3UTR	18153364	AT1G49050	1	2
3UTR	18176771	AT1G49140	72	9
3UTR	18176822	AT1G49140	5	7
3UTR	18179297	AT1G49160	1	5
3UTR	18179353	AT1G49160	3	24
3UTR	18184623	AT1G49180	3	1
3UTR	18199104	AT1G49200	1	1
3UTR	18199167	AT1G49200	3	1
3UTR	18218151	AT1G49240	26	9
3UTR	18218232	AT1G49240	160	13
3UTR	18264351	AT1G49340	5	3
3UTR	18264400	AT1G49340	1	1
3UTR	18267182	AT1G49360	10	1
3UTR	18279412	AT1G49380	5	41
3UTR	18284072	AT1G49400	48	4
3UTR	18285431	AT1G49410	92	1
3UTR	18285563	AT1G49410	354	48
3UTR	18295812	AT1G49430	71	81
3UTR	18295868	AT1G49430	2	1
3UTR	18311635	AT1G49470	11	2
3UTR	18321762	AT1G49500	711	29
3UTR	18328661	AT1G49510	10	1
3UTR	18333639	AT1G49540	3	5
3UTR	18344326	AT1G49560	1	1
3UTR	18348977	AT1G49570	2	1
3UTR	18356654	AT1G49590	28	42
3UTR	18356898	AT1G49600	1	5
3UTR	18365472	AT1G49620	2	1
3UTR	18377278	AT1G49650	7	14
5UTR	18378574	AT1G49650	9	1
3UTR	18381345	AT1G49670	77	52
3UTR	18381414	AT1G49670	2	15
3UTR	18391379	AT1G49710	93	98
3UTR	18402569	AT1G49720	1	1
3UTR	18402549	AT1G49730	12	19
3UTR	18409649	AT1G49740	10	6
3UTR	18410988	AT1G49750	9	1
3UTR	18419896	AT1G49760	5	1
3UTR	18419941	AT1G49760	11	3
3UTR	18428856	AT1G49780	4	10
3UTR	18445086	AT1G49820	41	9
3UTR	18455063	AT1G49850	43	1
3UTR	18459886	AT1G49860	48	3
3UTR	18459970	AT1G49860	84	1
3UTR	18465988	AT1G49880	2	1
3UTR	18473819	AT1G49890	46	19
3UTR	18494241	AT1G49950	19	13
3UTR	18501840	AT1G49960	2	1
3UTR	18501878	AT1G49960	8	1
3UTR	18501768	AT1G49970	48	106
3UTR	18505510	AT1G49975	8	4
3UTR	18513171	AT1G49980	433	544
3UTR	18515080	AT1G49990	1	1
3UTR	18519926	AT1G50010	263	290
3UTR	18519998	AT1G50020	16	1
3UTR	18522434	AT1G50030	32	8
3UTR	18522521	AT1G50030	7	4
3UTR	18543877	AT1G50040	3	1
3UTR	18543983	AT1G50040	34	31
3UTR	18558049	AT1G50110	28	9
3UTR	18558107	AT1G50110	1	7
3UTR	18566116	AT1G50120	27	1
3UTR	18583653	AT1G50170	2	1
3UTR	18591186	AT1G50200	7	4
3UTR	18591250	AT1G50200	440	2048
CDS	18595064	AT1G50200	12	6
3UTR	18614289	AT1G50250	67	241
3UTR	18628550	AT1G50300	1	1
3UTR	18628686	AT1G50300	8	31
3UTR	18638451	AT1G50320	14	19
3UTR	18657377	AT1G50360	2	1
3UTR	18661975	AT1G50370	538	1190
3UTR	18666350	AT1G50380	4	11
3UTR	18666417	AT1G50380	27	21
3UTR	18677530	AT1G50410	34	14
3UTR	18678049	AT1G50420	3	7
3UTR	18681976	AT1G50430	150	1
3UTR	18687735	AT1G50440	26	3
3UTR	18687877	AT1G50440	31	1
3UTR	18687749	AT1G50450	32	125
3UTR	18687801	AT1G50450	7	232
3UTR	18697547	AT1G50460	4	1
3UTR	18697618	AT1G50460	1	2
3UTR	18697660	AT1G50460	4	1
3UTR	18704831	AT1G50480	94	55
3UTR	18704939	AT1G50480	5	2
3UTR	18704805	AT1G50490	6	3
3UTR	18704830	AT1G50490	26	9
3UTR	18707985	AT1G50500	17	5
3UTR	18708076	AT1G50500	11	5
3UTR	18719207	AT1G50510	2	2
3UTR	18719286	AT1G50510	25	1
3UTR	18721218	AT1G50520	6	6
3UTR	18726236	AT1G50570	66	1
3UTR	18728702	AT1G50575	37	4
3UTR	18732254	AT1G50590	1	1
3UTR	18737253	AT1G50600	36	2
3UTR	18751453	AT1G50630	35	1
3UTR	18757151	AT1G50640	281	36
3UTR	18774863	AT1G50670	80	2
3UTR	18774903	AT1G50670	1	1
3UTR	18774968	AT1G50670	9	2
3UTR	18784523	AT1G50710	4	1
3UTR	18803349	AT1G50730	79	5
3UTR	18808967	AT1G50740	615	11
3UTR	18844444	AT1G50840	235	887
3UTR	18844588	AT1G50840	5	21
CDS	18841196	AT1G50840	4	20
3UTR	18867145	AT1G50900	6	2
3UTR	18866696	AT1G50910	39	49
3UTR	18872883	AT1G50920	4	2
3UTR	18877812	AT1G50940	34	17
3UTR	18877876	AT1G50940	65	74
3UTR	18933949	AT1G51090	156	21
3UTR	18943485	AT1G51140	92	157
3UTR	18951762	AT1G51160	267	161
3UTR	18986339	AT1G51200	11	4
3UTR	18986394	AT1G51200	5	2
3UTR	18986546	AT1G51200	7938	428
intron	18990567	AT1G51220	17	10
3UTR	19018945	AT1G51310	17	14
3UTR	19034865	AT1G51340	37	78
3UTR	19034927	AT1G51340	6	7
3UTR	19044900	AT1G51360	6	1
3UTR	19051944	AT1G51390	8	1
3UTR	19052027	AT1G51390	3	3
3UTR	19052069	AT1G51400	117	288
intron	19052556	AT1G51402	3	3
3UTR	19059647	AT1G51405	1	1
3UTR	19069655	AT1G51430	27	15
3UTR	19069767	AT1G51430	19	3
3UTR	19072667	AT1G51440	1	5
3UTR	19076384	AT1G51450	4	1
3UTR	19076524	AT1G51450	2	1
3UTR	19102809	AT1G51510	137	28
3UTR	19102912	AT1G51510	4	33
3UTR	19117532	AT1G51540	24	30
3UTR	19117509	AT1G51550	60	145
3UTR	19117598	AT1G51550	7	318
3UTR	19119640	AT1G51560	1	2
3UTR	19119716	AT1G51560	27	1
3UTR	19122169	AT1G51570	122	6
3UTR	19128159	AT1G51590	95	71
3UTR	19128254	AT1G51590	3	3
3UTR	19135444	AT1G51600	2	13
3UTR	19135549	AT1G51600	16	4
3UTR	19139919	AT1G51610	34	2
3UTR	19141786	AT1G51620	2	1
3UTR	19141903	AT1G51630	11	3
3UTR	19141997	AT1G51630	61	6
3UTR	19142086	AT1G51630	4	4
3UTR	19153860	AT1G51650	352	365
3UTR	19155872	AT1G51660	7	1
3UTR	19155948	AT1G51660	128	52
3UTR	19170447	AT1G51690	208	188
3UTR	19175094	AT1G51700	2	7
3UTR	19175707	AT1G51710	90	361
3UTR	19186441	AT1G51720	45	5
3UTR	19186523	AT1G51720	2	1
3UTR	19186529	AT1G51730	15	1
3UTR	19186557	AT1G51730	49	12
3UTR	19191202	AT1G51740	3	12
3UTR	19191264	AT1G51740	5	4
3UTR	19201555	AT1G51760	206	113
3UTR	19217972	AT1G51800	23	7
3UTR	19218016	AT1G51800	2	1
intron	19215835	AT1G51800	13	87
3UTR	19220884	AT1G51805	3	1
3UTR	19220993	AT1G51805	53	36
3UTR	19221116	AT1G51805	10	45
3UTR	19237272	AT1G51820	1	1
3UTR	19242908	AT1G51830	34	5
3UTR	19252843	AT1G51850	40	4
3UTR	19295932	AT1G51940	8	3
3UTR	19311806	AT1G51965	1	6
3UTR	19311936	AT1G51965	1	1
3UTR	19312001	AT1G51965	7	11
3UTR	19323427	AT1G51980	349	64
3UTR	19333158	AT1G52000	123	1
3UTR	19350425	AT1G52040	17	1
3UTR	19354963	AT1G52050	11	1
3UTR	19383121	AT1G52100	80	3
3UTR	19383164	AT1G52100	5	3
3UTR	19409776	AT1G52150	224	422
3UTR	19420806	AT1G52160	19	2
3UTR	19438913	AT1G52190	1	2
3UTR	19442161	AT1G52200	27	1
3UTR	19442212	AT1G52200	2	1
intron	19442538	AT1G52200	3	1
3UTR	19453597	AT1G52220	2284	430
3UTR	19455642	AT1G52230	22	56
3UTR	19463472	AT1G52260	31	42
3UTR	19463684	AT1G52270	16	3
3UTR	19470028	AT1G52290	57	10
3UTR	19474978	AT1G52300	7	1
3UTR	19475047	AT1G52300	655	509
3UTR	19489842	AT1G52330	11	9
3UTR	19489881	AT1G52340	20	3
3UTR	19492280	AT1G52342	44	13
3UTR	19492394	AT1G52342	3	1
3UTR	19506149	AT1G52360	92	30
3UTR	19511520	AT1G52380	20	1
3UTR	19525562	AT1G52410	6	9
3UTR	19531103	AT1G52420	4	1
3UTR	19561554	AT1G52510	899	3239
3UTR	19573074	AT1G52550	15	4
3UTR	19589008	AT1G52590	124	2
3UTR	19589144	AT1G52590	5	1
3UTR	19592665	AT1G52600	78	15
3UTR	19614983	AT1G52670	1	7
3UTR	19620767	AT1G52690	4	8
3UTR	19641636	AT1G52720	87	4
3UTR	19646325	AT1G52740	12	1
3UTR	19646431	AT1G52740	83	60
3UTR	19652738	AT1G52760	209	645
3UTR	19662126	AT1G52780	317	6
3UTR	19671422	AT1G52827	4	1
3UTR	19672491	AT1G52830	6	21
3UTR	19672570	AT1G52830	1	1
3UTR	19687867	AT1G52870	682	10945
3UTR	19687967	AT1G52870	1	72
3UTR	19697063	AT1G52890	35	1
3UTR	19697122	AT1G52890	14	1
3UTR	19709315	AT1G52910	2	1
3UTR	19709281	AT1G52920	1	1
3UTR	19713229	AT1G52930	65	6
3UTR	19740285	AT1G52980	15	27
3UTR	19745161	AT1G53000	132	22
3UTR	19760156	AT1G53030	4	1
3UTR	19764443	AT1G53040	6	1
3UTR	19775758	AT1G53050	69	12
3UTR	19819373	AT1G53165	19	115
3UTR	19819541	AT1G53165	1	2
3UTR	19821378	AT1G53170	5	2
3UTR	19821441	AT1G53170	28	4
3UTR	19832842	AT1G53180	10	1
3UTR	19832957	AT1G53180	2	1
3UTR	19840158	AT1G53190	11	18
3UTR	19840219	AT1G53190	14	9
3UTR	19840318	AT1G53190	1	2
3UTR	19840375	AT1G53200	2	39
3UTR	19840478	AT1G53200	1	1064
3UTR	19847564	AT1G53210	10	5
3UTR	19847711	AT1G53210	169	57
3UTR	19847819	AT1G53210	1	3
3UTR	19849787	AT1G53230	92	7
3UTR	19854714	AT1G53240	277	110
3UTR	19854853	AT1G53240	1	1
CDS	19855471	AT1G53240	6	13
3UTR	19859190	AT1G53250	1	1
3UTR	19859228	AT1G53260	6	18
3UTR	19864719	AT1G53270	2	1
3UTR	19864790	AT1G53280	53	100
3UTR	19884030	AT1G53310	105	1
3UTR	19884104	AT1G53310	1	3
3UTR	19891010	AT1G53320	13	3
3UTR	19891062	AT1G53320	28	2
3UTR	19913076	AT1G53380	15	1
3UTR	19913113	AT1G53380	2	6
3UTR	19923830	AT1G53390	4	1
3UTR	19923891	AT1G53390	1	1
3UTR	19926709	AT1G53400	1	1
3UTR	19940991	AT1G53430	8	1
3UTR	19941045	AT1G53430	17	17
3UTR	19941124	AT1G53430	3	2
CDS	19939208	AT1G53430	3	37
3UTR	19961708	AT1G53470	2	3
3UTR	19966943	AT1G53500	13	3
3UTR	19967052	AT1G53500	4	6
3UTR	19970666	AT1G53510	1	1
3UTR	19970755	AT1G53510	19	9
3UTR	19976413	AT1G53520	169	123
3UTR	19980084	AT1G53530	16	2
3UTR	19981110	AT1G53540	3	11
3UTR	19981845	AT1G53542	10	2
3UTR	19984771	AT1G53560	101	234
3UTR	19991348	AT1G53580	93	14
3UTR	20000266	AT1G53590	18	10
3UTR	20011424	AT1G53620	39	114
3UTR	20026172	AT1G53645	35	5
3UTR	20029059	AT1G53650	38	4
3UTR	20038204	AT1G53670	82	123
3UTR	20050216	AT1G53700	2	2
3UTR	20059667	AT1G53720	2	10
CDS	20059311	AT1G53720	17	38
3UTR	20065695	AT1G53730	240	1
3UTR	20065759	AT1G53750	34	16
3UTR	20078414	AT1G53785	18	13
3UTR	20084484	AT1G53800	2	7
3UTR	20103589	AT1G53840	140	187
3UTR	20103953	AT1G53850	340	15
CDS	20105123	AT1G53850	52	30
3UTR	20136942	AT1G53910	240	159
3UTR	20139694	AT1G53920	8	1
3UTR	20154251	AT1G54000	8	2
3UTR	20154388	AT1G54000	424	222
3UTR	20154444	AT1G54000	8	10
3UTR	20158644	AT1G54010	30	26
3UTR	20158695	AT1G54010	338	369
3UTR	20158782	AT1G54010	1	7
3UTR	20161671	AT1G54020	35	8
3UTR	20169557	AT1G54030	1	1
3UTR	20169658	AT1G54030	2	1
3UTR	20170734	AT1G54040	57	51
3UTR	20170824	AT1G54040	1	1
3UTR	20182325	AT1G54060	30	10
CDS	20181939	AT1G54060	1	33
3UTR	20183592	AT1G54080	12	9
3UTR	20183665	AT1G54080	6	1
3UTR	20183743	AT1G54080	1	2
3UTR	20183791	AT1G54080	4	1
3UTR	20191847	AT1G54090	29	7
3UTR	20195299	AT1G54100	21	11
3UTR	20201704	AT1G54110	7	2
3UTR	20204120	AT1G54115	17	16
3UTR	20204279	AT1G54115	12	7
3UTR	20207528	AT1G54120	1	1
3UTR	20213863	AT1G54130	1016	2088
CDS	20213548	AT1G54130	32	10
3UTR	20217358	AT1G54150	2	17
3UTR	20217393	AT1G54150	93	85
3UTR	20217484	AT1G54150	2	1
3UTR	20221079	AT1G54170	11	1
3UTR	20242508	AT1G54210	152	3
3UTR	20246204	AT1G54220	3	2
3UTR	20256479	AT1G54250	47	9
3UTR	20262213	AT1G54270	99	40
3UTR	20268491	AT1G54290	1421	827
3UTR	20275534	AT1G54320	90	179
3UTR	20286667	AT1G54340	2	10
3UTR	20286734	AT1G54340	3	6
3UTR	20286846	AT1G54340	53	51
3UTR	20290402	AT1G54350	57	68
3UTR	20293230	AT1G54360	49	7
3UTR	20293187	AT1G54370	463	544
3UTR	20297972	AT1G54380	6	10
3UTR	20298107	AT1G54380	4	10
3UTR	20301156	AT1G54385	3	2
3UTR	20304575	AT1G54390	10	2
3UTR	20304692	AT1G54390	2	1
3UTR	20309835	AT1G54410	1134	430
CDS	20310406	AT1G54410	150	1149
CDS	20310474	AT1G54410	2	2
intron	20310153	AT1G54410	1	1
3UTR	20328058	AT1G54440	2	1
3UTR	20340645	AT1G54460	12	10
3UTR	20340727	AT1G54460	3	31
3UTR	20357005	AT1G54500	387	81
3UTR	20357055	AT1G54500	5	9
3UTR	20358335	AT1G54510	139	122
3UTR	20387706	AT1G54575	10	26
3UTR	20393865	AT1G54610	144	1110
3UTR	20401461	AT1G54630	1	18
3UTR	20405668	AT1G54650	10	1
3UTR	20414498	AT1G54680	30	14
3UTR	20414493	AT1G54690	127	16
3UTR	20416790	AT1G54710	2	8
3UTR	20416825	AT1G54710	2	1
3UTR	20431980	AT1G54740	128	148
CDS	20431060	AT1G54740	8	20
CDS	20431545	AT1G54740	4	4
3UTR	20440979	AT1G54780	8	6
3UTR	20441041	AT1G54780	27	29
3UTR	20450824	AT1G54820	3	1
3UTR	20450892	AT1G54820	17	4
3UTR	20452578	AT1G54830	6	6
3UTR	20452612	AT1G54830	40	6
3UTR	20475145	AT1G54920	4	2
3UTR	20513664	AT1G54990	201	410
3UTR	20516381	AT1G55000	79	545
3UTR	20516550	AT1G55000	2	14
3UTR	20530249	AT1G55020	17	64
3UTR	20538950	AT1G55040	1	4
3UTR	20558495	AT1G55090	118	50
3UTR	20577286	AT1G55150	6	9
3UTR	20577405	AT1G55152	17	1
3UTR	20579946	AT1G55160	57	13
3UTR	20580021	AT1G55160	96	2
CDS	20579717	AT1G55160	1	2
3UTR	20589133	AT1G55190	64	3
3UTR	20589244	AT1G55190	2	1
3UTR	20589190	AT1G55200	2	1
3UTR	20597865	AT1G55210	150	151
3UTR	20597981	AT1G55210	116	229
3UTR	20606312	AT1G55240	3	1
3UTR	20612378	AT1G55250	9	8
