id	Protein IDs	Majority protein IDs	Protein names	Gene names	iBAQ CCL_H rep1	log10 IBAQ CCL rep1	iBAQ CCL_L rep2	log10 IBAQ CCL rep2	iBAQ CCL_L rep3	log10 IBAQ CCL rep3	Median IBAQ CCL	log10 Median CCL	Ratio CCl_H/NoCL_L rep1	Ratio CLL_L/NoCL_H rep2	Ratio CLL_L/NoCL_H rep3	iBAQ	iBAQ L	iBAQ H	iBAQ rep1	iBAQ NoCL_L rep1	iBAQ rep2	iBAQ NoCL_H rep2	iBAQ rep3	iBAQ NoCL_H rep3	GOBP name	GOMF name	GOCC name	KEGG name	Pfam	Ratio H/L count rep1	Ratio H/L count rep2	Ratio H/L count rep3	Intensity L	Intensity H	Intensity rep1	Intensity L rep1	Intensity H rep1	Intensity rep2	Intensity L rep2	Intensity H rep2	Intensity rep3	Intensity L rep3	Intensity H rep3
67	Q94AD9;C0SUT1;Q570S8	Q94AD9;C0SUT1	Zinc finger CCCH domain-containing protein 3	At1g04990	789100	5.8971320434	867860	5.938449672	5291100	6.7235459696	867860	5.938449672	2.84591	3.15856	3.78673	7410800	6448500	962280	1078600	289510	898360	30502	5433800	142670	cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleic acid phosphodiester bond hydrolysis;nucleobase-containing compound metabolic process;primary metabolic process	binding;catalytic activity;cation binding;DNA binding;hydrolase activity;hydrolase activity, acting on ester bonds;ion binding;metal ion binding;nuclease activity;nucleic acid binding;RNA binding;transition metal ion binding;zinc ion binding	cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle		zf-CCCH	5	4	13	128970000	19246000	21572000	5790200	15782000	17967000	17357000	610030	108680000	105820000	2853500
68	Q41963;C0SVC9	Q41963;C0SVC9	Aquaporin TIP1-2	TIP1-2;At3g26520	199520	5.2999864361	59143	4.7719033501	0	NaN	59143	4.7719033501	NaN	NaN	NaN	394350	156660	237690	297040	97521	97307	38164	0	0	biological regulation;cellular process;chemical homeostasis;defense response;defense response to bacterium;establishment of localization;homeostatic process;hydrogen peroxide transmembrane transport;multi-organism process;regulation of biological quality;response to bacterium;response to biotic stimulus;response to other organism;response to stimulus;response to stress;transmembrane transport;transport;water homeostasis	channel activity;passive transmembrane transporter activity;substrate-specific channel activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity;water channel activity;water transmembrane transporter activity	cell part;chloroplast;columella;cytoplasmic part;endoplasmic reticulum;extracellular matrix part;extracellular region part;Golgi apparatus;integral to membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;intrinsic to membrane;membrane;membrane part;membrane-bounded organelle;organelle;organelle membrane;organelle part;plasma membrane;plastid;vacuolar membrane;vacuolar part		MIP	1	1	0	313330	475370	594090	195040	399040	194610	118290	76329	0	0	0
69	Q9LVX1;C0SVD1	Q9LVX1;C0SVD1	Zinc finger CCCH domain-containing protein 41	At3g27700	58897	4.770093174	2880.6	3.4594829564	105500	5.0232524596	58897	4.770093174	1.48424	NaN	2.28969	187150	113210	73945	63725	4827.8	3460.7	580.09	119970	14468		binding;cation binding;DNA binding;ion binding;metal ion binding;nucleic acid binding;nucleotide binding;RNA binding;transition metal ion binding;zinc ion binding				3	1	4	5434000	3549400	3058800	231740	2827100	166110	138270	27844	5758500	5064000	694460
70	Q9LD90;C0SVF3	Q9LD90;C0SVF3	H/ACA ribonucleoprotein complex subunit 4	CBF5;At3g57150	0	NaN	0	NaN	27563	4.4403264851	0	Err:502	NaN	NaN	NaN	27563	27563	0	0	0	0	0	27563	0	cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;macromolecule modification;metabolic process;ncRNA metabolic process;ncRNA processing;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;pseudouridine synthesis;RNA metabolic process;RNA modification;RNA processing;rRNA metabolic process;rRNA processing	binding;catalytic activity;intramolecular transferase activity;isomerase activity;nucleic acid binding;pseudouridine synthase activity;RNA binding	cell junction;cell part;cell-cell junction;cytoplasmic part;cytosol;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;plasmodesma;ribonucleoprotein complex	Ribosome biogenesis in eukaryotes	DKCLD;PUA;TruB_N	0	0	0	882010	0	0	0	0	0	0	0	882010	882010	0
71	P93004;C0SVL5;O23830	P93004;C0SVL5;O23830	Aquaporin PIP2-7	PIP2-7;At4g35100	0	NaN	399010	5.6009837801	1709500	6.2328691051	399010	5.6009837801	NaN	2.79176	2.73092	2266900	2108500	158390	0	0	415780	16763	1851100	141630	response to abscisic acid stimulus;response to chemical stimulus;response to endogenous stimulus;response to hormone stimulus;response to organic substance;response to stimulus	channel activity;passive transmembrane transporter activity;substrate-specific channel activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity;water channel activity;water transmembrane transporter activity	anchored to membrane;anchored to plasma membrane;cell junction;cell part;cell-cell junction;cytoplasmic part;integral to membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;intrinsic to membrane;intrinsic to plasma membrane;membrane part;membrane-bounded organelle;nucleus;organelle;plasma membrane part;plasmodesma;vacuole		MIP	0	2	6	16868000	1267200	0	0	0	3326200	3192100	134110	14809000	13676000	1133000
72	Q56WJ4;F4HQT1;Q9FX54;P25858;C0Z2I0;Q56WW5;Q5E924;Q9SAJ6	Q56WJ4;F4HQT1;Q9FX54;P25858;C0Z2I0	Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic;Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic	At1g13440;GAPC2;GAPC1;AT1G13440	67094	4.8266836844	16449	4.2161395006	123570	5.0919130467	67094	4.8266836844	-2.01386	-1.11982	-0.16543	623980	415430	208550	342510	275410	40913	24463	240560	116990	alcohol biosynthetic process;alcohol catabolic process;alcohol metabolic process;amino acid homeostasis;anatomical structure development;biological regulation;biosynthetic process;carbohydrate biosynthetic process;carbohydrate catabolic process;carbohydrate metabolic process;catabolic process;cellular biosynthetic process;cellular carbohydrate biosynthetic process;cellular carbohydrate catabolic process;cellular carbohydrate metabolic process;cellular metabolic process;cellular process;chemical homeostasis;defense response;defense response to bacterium;developmental process;developmental process involved in reproduction;gametophyte development;generation of precursor metabolites and energy;gluconeogenesis;glucose catabolic process;glucose metabolic process;glycolysis;hexose biosynthetic process;hexose catabolic process;hexose metabolic process;homeostatic process;metabolic process;monosaccharide biosynthetic process;monosaccharide catabolic process;monosaccharide metabolic process;multicellular organismal development;multicellular organismal process;multi-organism process;organ development;pollen development;post-embryonic development;primary metabolic process;primary root development;regulation of biological quality;reproductive process;reproductive structure development;response to abiotic stimulus;response to bacterium;response to biotic stimulus;response to cadmium ion;response to carbohydrate stimulus;response to chemical stimulus;response to disaccharide stimulus;response to heat;response to hydrogen peroxide;response to inorganic substance;response to metal ion;response to organic substance;response to osmotic stress;response to other organism;response to oxidative stress;response to reactive oxygen species;response to salt stress;response to stimulus;response to stress;response to sucrose stimulus;response to temperature stimulus;root development;seed development;small molecule biosynthetic process;small molecule catabolic process;small molecule metabolic process;tapetal layer development	binding;catalytic activity;cation binding;coenzyme binding;cofactor binding;copper ion binding;DNA binding;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity;glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity;ion binding;metal ion binding;NAD binding;NADP binding;nucleic acid binding;nucleotide binding;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;transition metal ion binding;zinc ion binding	apoplast;cell junction;cell part;cell wall;cell-cell junction;chloroplast;cytoplasmic part;cytosol;envelope;external encapsulating structure;extracellular region;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;mitochondrial envelope;mitochondrial part;mitochondrion;non-membrane-bounded organelle;nuclear part;nucleolus;nucleus;organelle;organelle envelope;organelle membrane;organelle part;plasma membrane;plasmodesma;plastid;vacuolar membrane;vacuolar part	Alzheimer's disease;Glycolysis / Gluconeogenesis	Gp_dh_C;Gp_dh_N	4	2	4	4985200	2502600	4110100	3304900	805130	490950	197390	293560	2886800	1482800	1403900
73	Q42034;C0Z2J4;Q9FVT2	Q42034;C0Z2J4;Q9FVT2	Probable elongation factor 1-gamma 2	AT1G57720	114910	5.0603578246	40619	4.6087292273	0	NaN	40619	4.6087292273	NaN	NaN	NaN	194190	56114	138080	130400	15495	63787	23169	0	0	response to cadmium ion;response to chemical stimulus;response to inorganic substance;response to metal ion;response to stimulus;response to zinc ion	binding;cation binding;copper ion binding;ion binding;metal ion binding;nucleic acid binding;RNA binding;transition metal ion binding;translation elongation factor activity;translation factor activity, nucleic acid binding	cell junction;cell part;cell wall;cell-cell junction;cytoplasmic part;cytosol;eukaryotic translation elongation factor 1 complex;external encapsulating structure;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;organelle;plasma membrane;plasmodesma;protein complex;vacuole		EF1G;GST_C;GST_N	1	1	0	224460	552310	521620	61981	459640	255150	162470	92675	0	0	0
74	C0Z2J7;Q9SFU7	C0Z2J7;Q9SFU7		AT3G07170;T1B9.17	0	NaN	0	NaN	141690	5.1513392003	0	Err:502	NaN	NaN	1.92895	167640	141690	25950	0	0	0	0	167640	25950					SAM_1	0	0	2	1133500	207600	0	0	0	0	0	0	1341100	1133500	207600
75	C0Z2L2;P43292;Q9FFP9;Q9C958;P43291;F4I7B6	C0Z2L2;P43292;Q9FFP9;Q9C958;P43291;F4I7B6	Serine/threonine-protein kinase SRK2G;Serine/threonine-protein kinase SRK2H;Serine/threonine-protein kinase SRK2B;Serine/threonine-protein kinase SRK2A	AT5G63650;SRK2G;SRK2H;SRK2B;SRK2A	61161	4.7864745776	21298	4.3283388227	121240	5.0836459277	61161	4.7864745776	1.23769	NaN	4.39099	234570	165840	68730	84463	23302	22532	1234	127580	6334.8	anatomical structure development;developmental process;lateral root development;organ development;post-embryonic development;post-embryonic organ development;post-embryonic root development;response to abiotic stimulus;response to osmotic stress;response to salt stress;response to stimulus;response to stress;root development	adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;kinase activity;lipid binding;nucleotide binding;phosphatidic acid binding;phospholipid binding;phosphotransferase activity, alcohol group as acceptor;protein kinase activity;protein serine/threonine kinase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;transferase activity;transferase activity, transferring phosphorus-containing groups	cell part;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle	Plant hormone signal transduction	Pkinase	2	1	2	2653500	1099700	1351400	372830	978580	360510	340760	19745	2041200	1939900	101360
76	O49409;C0Z2R6;Q93Z30	O49409;C0Z2R6;Q93Z30		AT4g18950;AT4G18950	0	NaN	0	NaN	7271.8	3.8616419258	0	Err:502	NaN	NaN	NaN	8614.8	7271.8	1343	0	0	0	0	8614.8	1343	biological regulation;cell surface receptor linked signaling pathway;cellular process;cellular response to stimulus;integrin-mediated signaling pathway;regulation of biological process;regulation of cellular process;regulation of response to stimulus;regulation of signal transduction;regulation of signaling;response to stimulus;signal transduction	adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;kinase activity;nucleotide binding;phosphotransferase activity, alcohol group as acceptor;protein kinase activity;protein serine/threonine kinase activity;protein serine/threonine/tyrosine kinase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;transferase activity;transferase activity, transferring phosphorus-containing groups	cell part;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle		Ank;Ank_2;Pkinase	0	0	1	189070	34917	0	0	0	0	0	0	223990	189070	34917
77	C0Z313;Q9SN57;Q8L8Z0;O81618;F4JN75;F4JN76	C0Z313;Q9SN57;Q8L8Z0;O81618;F4JN75;F4JN76		AT4G10970;F25I24.180;F8M12.11	101490	5.0064232525	36345	4.5604446732	450790	5.6539742734	101490	5.0064232525	NaN	NaN	2.29131	696890	536510	160380	150860	49371	45419	9074	500610	49819						1	1	4	5901600	1764200	1659400	543080	1116400	499610	399790	99814	5506700	4958700	548010
78	Q8LCJ1;Q42418;C0Z3G0	Q8LCJ1;Q42418;C0Z3G0	Profilin;Profilin-2	PRO2;AT4G29350	34507	4.5379072039	29597	4.4712476925	87244	4.9407355691	34507	4.5379072039	NaN	NaN	NaN	199320	136990	62332	54656	20149	38346	8749.5	106320	19075	actin cytoskeleton organization;actin filament organization;actin filament-based process;actin polymerization or depolymerization;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex subunit organization;cellular process;cytoskeleton organization;macromolecular complex subunit organization;organelle organization		cell part;chloroplast;cytoplasm;cytoplasmic part;cytoskeleton;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;membrane;membrane-bounded organelle;non-membrane-bounded organelle;organelle;plasma membrane;plastid		Profilin	1	1	1	821940	373990	327940	120890	207040	230080	177580	52497	637910	523460	114450
79	Q9FL69;C4NZX2	Q9FL69;C4NZX2	Probable ADP-ribosylation factor GTPase-activating protein AGD5	AGD5;NEV	26358	4.4209124536	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	26358	0	26358	26358	0	0	0	0	0	abscission;activation of ARF GTPase activity;activation of Ras GTPase activity;biological regulation;developmental process;developmental process involved in reproduction;floral organ abscission;positive regulation of ARF GTPase activity;positive regulation of catalytic activity;positive regulation of GTPase activity;positive regulation of hydrolase activity;positive regulation of molecular function;positive regulation of Ras GTPase activity;regulation of ARF GTPase activity;regulation of biological process;regulation of catabolic process;regulation of catalytic activity;regulation of cellular catabolic process;regulation of cellular metabolic process;regulation of cellular process;regulation of GTP catabolic process;regulation of GTPase activity;regulation of hydrolase activity;regulation of metabolic process;regulation of molecular function;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleotide catabolic process;regulation of nucleotide metabolic process;regulation of primary metabolic process;regulation of purine nucleotide catabolic process;regulation of Ras GTPase activity;reproductive process	ARF GTPase activator activity;binding;cation binding;enzyme activator activity;enzyme regulator activity;GTPase activator activity;GTPase regulator activity;ion binding;metal ion binding;nucleoside-triphosphatase regulator activity;small GTPase regulator activity;transition metal ion binding;zinc ion binding	cell part;cytoplasmic part;cytosol;endosome;Golgi apparatus part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;organelle;organelle part;trans-Golgi network	Endocytosis	ArfGap	0	0	0	0	474440	474440	0	474440	0	0	0	0	0	0
114	E0X9N4;E0X9N5;E0X9N6	E0X9N4;E0X9N5;E0X9N6	Zinc finger CCCH domain-containing protein 69	At3g63550	133770	5.1263587271	89721	4.9528941054	616040	5.7896089122	133770	5.1263587271	NaN	NaN	2.64241	908850	705760	203090	133770	0	89721	0	685360	69315		binding;cation binding;DNA binding;ion binding;metal ion binding;nucleic acid binding;transition metal ion binding;zinc ion binding	cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle		zf-CCCH;zf-RING_2	0	0	5	15527000	4467900	2943000	0	2943000	1973900	1973900	0	15078000	13553000	1524900
115	Q8W592;F4HQH8	Q8W592;F4HQH8			250620	5.3990157256	80044	4.9033287833	1273700	6.1050671488	250620	5.3990157256	4.5235	3.29082	2.93468	2100000	1358700	741370	255540	4925.7	82807	2762.3	1761700	487990		binding;nucleic acid binding;nucleotide binding	cell part;chloroplast envelope;chloroplast part;chloroplast stroma;cytoplasmic part;envelope;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nucleus;organelle;organelle envelope;organelle part;plastid envelope;plastid part;plastid stroma;ribonucleoprotein complex		RRM_1	2	2	7	25814000	14086000	4855300	93588	4761700	1573300	1520800	52484	33472000	24200000	9271800
116	F4HRV0;Q8GZ43	F4HRV0;Q8GZ43	RanBP2-type zinc finger protein At1g67325		0	NaN	282550	5.4510953116	1635700	6.2137036537	282550	5.4510953116	NaN	3.54242	3.85854	2001300	1918200	83119	0	0	301210	18660	1700100	64459		binding;cation binding;ion binding;metal ion binding;transition metal ion binding;zinc ion binding	cell part;intracellular		zf-RanBP	0	2	3	24937000	1080500	0	0	0	3915700	3673100	242580	22102000	21264000	837970
117	Q9FYF5;Q9M6R5;F4HRV8	Q9FYF5;Q9M6R5;F4HRV8		ASY1	0	NaN	299140	5.4758744893	873110	5.9410689624	299140	5.4758744893	NaN	NaN	NaN	1182500	1172300	10250	0	0	302190	3043.4	880320	7206.9	cell cycle;cell cycle phase;cell cycle process;cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular process;chiasma assembly;developmental process;leptotene;megasporogenesis;meiotic cell cycle;microsporogenesis;plant-type spore development;zygotene	binding;DNA binding;nucleic acid binding	cell part;chromatin;chromosomal part;chromosome;condensed chromosome;condensed nuclear chromosome;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;non-membrane-bounded organelle;nuclear chromosome;nuclear part;nucleoplasm;organelle;organelle part		HORMA	0	1	1	18756000	164010	0	0	0	4835000	4786300	48695	14085000	13970000	115310
118	Q8VZM1;F4HS68;Q9M8L0	Q8VZM1;F4HS68;Q9M8L0		At1g80410/T21F11_26;EMB2753;T21F11.26	1929.4	3.2854222742	0	NaN	9526.2	3.9789196952	1929.4	3.2854222742	NaN	NaN	NaN	16576	10288	6288.3	2690.7	761.33	0	0	13885	4359		catalytic activity;transferase activity			NARP1	1	0	1	534950	326990	139920	39589	100330	0	0	0	722030	495360	226670
119	F4HS98;F4HS99;Q9LNJ1;Q9XI40;F4HZK4;F4JKH6	F4HS98;F4HS99;Q9LNJ1;Q9XI40;F4HZK4;F4JKH6		F6F3.12;F9L1.23	10566	4.0239106064	0	NaN	11815	4.072433726	10566	4.0239106064	NaN	NaN	0.372954	29137	12409	16728	11160	593.74	0	0	17978	6162.6			cell part;cytoplasmic part;cytosol;intracellular part			1	0	2	1017500	1371700	915080	48687	866390	0	0	0	1474200	968820	505340
120	Q9FZJ2;F4HSW8	Q9FZJ2;F4HSW8		At1g27430	6259.2	3.7965188288	1942.1	3.2882715883	75215	4.8763044598	6259.2	3.7965188288	0.69332	NaN	1.54011	131970	79308	52667	8410.3	2151.2	2087.8	145.63	121480	46262					GYF	2	1	6	6344700	4213300	672830	172090	500730	167020	155370	11651	9718100	6017200	3700900
121	Q94AY2;Q8H1N8;F4HUQ5;Q9SYP9	Q94AY2;Q8H1N8;F4HUQ5;Q9SYP9		At1g20880;F9H16.14	2947200	6.4694096085	3905800	6.5917100011	9456000	6.9757074635	3905800	6.5917100011	5.43169	4.57268	3.21237	16743000	13402000	3341000	2986900	39705	4018300	112530	9737300	281260		binding;nucleic acid binding;nucleotide binding			RRM_1	4	6	11	120610000	30069000	26882000	357340	26525000	36165000	35152000	1012800	87635000	85104000	2531300
122	Q9SYG4;F4HV67	Q9SYG4;F4HV67		F15I1.16;UBP1A	2406200	6.3813317225	1950200	6.2900791521	20296000	7.3074104542	2406200	6.3813317225	3.51891	3.73218	5.20105	25326000	22301000	3024600	2461500	55292	2110900	160680	20753000	457690		binding;nucleic acid binding;nucleotide binding	cell part;membrane;plasma membrane		RRM_1	6	8	13	267610000	36295000	29538000	663500	28874000	25331000	23403000	1928200	249040000	243550000	5492300
123	O81909;F4HVV7;F4HVV6;Q84WS9	O81909;F4HVV7;F4HVV6		T7I23.15	6511.9	3.8137077227	1746.5	3.24216859	22026	4.3429356349	6511.9	3.8137077227	NaN	NaN	3.06142	32099	24308	7791	7047.3	535.45	1746.5	0	23305	1279.1				RNA degradation	DUF3819;Not1	1	0	2	2066200	662230	599020	45514	553510	148450	148450	0	1980900	1872200	108720
124	F4HWC3;Q9SYP0;Q8GXA7	F4HWC3;Q9SYP0		F9H16.4	289430	5.4615435446	308330	5.4890157829	4351400	6.6386290074	308330	5.4890157829	2.61358	2.39661	3.75436	5222100	4668900	553210	298630	9207.7	327950	19617	4595600	244170			cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane;membrane-bounded organelle;organelle;plasma membrane;vacuole			5	7	33	252120000	29873000	16126000	497210	15629000	17709000	16650000	1059300	248160000	234970000	13185000
125	F4HWS5;Q9LNG4;Q0WMF2	F4HWS5;Q9LNG4		ECT7;At1g48110	354890	5.5500937621	452720	5.6558296809	1747400	6.2423923314	452720	5.6558296809	3.47988	4.11129	3.79432	2672400	2205400	466930	360150	5260.5	467760	15044	1844400	96992					YTH	2	9	11	68368000	14475000	11165000	163070	11002000	14501000	14034000	466360	57178000	54171000	3006700
126	F4K5J2;Q39160;F4HWY6;F4K5J1;F4HXP9;F4IRU3	F4K5J2;Q39160;F4HWY6;F4K5J1;F4HXP9;F4IRU3		XIK;MYA1;XIE;XIC;XIF	4622.4	3.6648675245	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	4622.4	0	4622.4	4622.4	0	0	0	0	0	actin filament-based movement;actin filament-based process;anatomical structure development;anatomical structure morphogenesis;cell division;cell growth;cell morphogenesis;cell morphogenesis involved in differentiation;cell tip growth;cellular component morphogenesis;cellular component movement;cellular component organization;cellular component organization or biogenesis;cellular developmental process;cellular localization;cellular process;developmental growth;developmental growth involved in morphogenesis;developmental process;developmental process involved in reproduction;floral whorl development;fruit development;Golgi localization;growth;gynoecium development;localization;mitochondrion localization;organelle localization;peroxisome localization;reproductive process;reproductive structure development;root hair cell tip growth;trichome branching;trichome morphogenesis;unidimensional cell growth	adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;motor activity;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding	cell junction;cell part;cell-cell junction;cytoskeletal part;intracellular organelle part;intracellular part;macromolecular complex;myosin complex;organelle part;plasmodesma;protein complex;unconventional myosin complex		DIL;IQ;Myosin_head;Myosin_N	0	0	0	0	406770	406770	0	406770	0	0	0	0	0	0
127	Q8RXE7-3;Q8RXE7-2;Q8RXE7;F4HXP0	Q8RXE7-3;Q8RXE7-2;Q8RXE7;F4HXP0	Probable ADP-ribosylation factor GTPase-activating protein AGD14	AGD14;ZIGA4	8800.6	3.9445122821	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	8800.6	0	8800.6	8800.6	0	0	0	0	0	biological regulation;positive regulation of catalytic activity;positive regulation of GTPase activity;positive regulation of hydrolase activity;positive regulation of molecular function;regulation of ARF GTPase activity;regulation of biological process;regulation of catabolic process;regulation of catalytic activity;regulation of cellular catabolic process;regulation of cellular metabolic process;regulation of cellular process;regulation of GTP catabolic process;regulation of GTPase activity;regulation of hydrolase activity;regulation of metabolic process;regulation of molecular function;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleotide catabolic process;regulation of nucleotide metabolic process;regulation of primary metabolic process;regulation of purine nucleotide catabolic process;regulation of Ras GTPase activity	ARF GTPase activator activity;binding;cation binding;enzyme activator activity;enzyme regulator activity;GTPase activator activity;GTPase regulator activity;ion binding;metal ion binding;nucleoside-triphosphatase regulator activity;small GTPase regulator activity;transition metal ion binding;zinc ion binding			ArfGap	0	0	0	0	167210	167210	0	167210	0	0	0	0	0	0
128	Q9XI56;Q8H1H8;F4HXZ1	Q9XI56;Q8H1H8;F4HXZ1		F9L1.7;At1g15130	23188	4.3652632917	0	NaN	8623.9	3.9357037119	8623.9	3.9357037119	2.42712	NaN	NaN	45285	12043	33242	26608	3419.2	0	0	18678	10054			cell junction;cell part;cell-cell junction;cytoplasmic part;cytosol;intracellular part;plasmodesma	Endocytosis	ALIX_LYPXL_bnd;BRO1	2	0	1	517850	1429400	1144100	147030	997100	0	0	0	803140	370830	432310
129	Q9XI49;Q9C5G2;F4HZI6;F4HZI7;F4HZI8	Q9XI49;Q9C5G2;F4HZI6;F4HZI7;F4HZI8		F9L1.14	0	NaN	0	NaN	246920	5.3925562683	0	Err:502	NaN	NaN	2.37782	278570	246920	31648	0	0	0	0	278570	31648				mRNA surveillance pathway;RNA transport	Pinin_SDK_memA	0	0	5	4691600	601300	0	0	0	0	0	0	5292900	4691600	601300
130	Q8RXP2;F4HZK3;Q8H1F3;Q9XI41	Q8RXP2;F4HZK3;Q8H1F3;Q9XI41		At1g15280;F9L1.22	94849	4.9770327565	18593	4.2693494693	1525500	6.183412212	94849	4.9770327565	1.13192	NaN	3.25925	1725200	1580800	144480	131520	36671	18593	0	1575100	49634			cell part;cytoplasmic part;cytosol;intracellular part		Btz	4	0	9	44261000	4045500	3682600	1026800	2655800	520620	520620	0	44104000	42714000	1389800
131	F4HZN9;Q9XI01;Q9SRG3	F4HZN9;Q9XI01;Q9SRG3	Protein disulfide isomerase-like 1-1;Protein disulfide isomerase-like 1-2	PDIL1-1;PDIL1-2	53430	4.7277851742	0	NaN	0	NaN	0	Err:502	-2.15688	NaN	NaN	81139	27709	53430	81139	27709	0	0	0	0	anatomical structure development;biological regulation;cell redox homeostasis;cellular homeostasis;cellular process;cellular response to stimulus;cellular response to stress;developmental process;developmental process involved in reproduction;embryo development;glycerol ether metabolic process;homeostatic process;metabolic process;multicellular organismal process;organic ether metabolic process;post-embryonic development;regulation of biological process;regulation of biological quality;regulation of cell death;regulation of cellular process;regulation of programmed cell death;reproductive process;reproductive structure development;response to abiotic stimulus;response to cadmium ion;response to chemical stimulus;response to endoplasmic reticulum stress;response to inorganic substance;response to metal ion;response to osmotic stress;response to salt stress;response to stimulus;response to stress;response to zinc ion;seed development;small molecule metabolic process	catalytic activity;disulfide oxidoreductase activity;electron carrier activity;intramolecular oxidoreductase activity;intramolecular oxidoreductase activity, interconverting keto- and enol-groups;intramolecular oxidoreductase activity, transposing S-S bonds;isomerase activity;oxidoreductase activity;oxidoreductase activity, acting on a sulfur group of donors;protein disulfide isomerase activity;protein disulfide oxidoreductase activity	cell part;cell wall;chloroplast;cytoplasmic part;endoplasmic reticulum;endoplasmic reticulum lumen;endoplasmic reticulum part;external encapsulating structure;Golgi apparatus;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle lumen;intracellular organelle part;intracellular part;lytic vacuole;lytic vacuole within protein storage vacuole;membrane;membrane-bounded organelle;membrane-enclosed lumen;organelle;organelle lumen;organelle membrane;organelle part;plant-type cell wall;plasma membrane;plastid;thylakoid;vacuolar membrane;vacuolar part;vacuole	Protein processing in endoplasmic reticulum	Thioredoxin	3	0	0	914380	1763200	2677600	914380	1763200	0	0	0	0	0	0
132	Q9LM53;F4HZS8	Q9LM53;F4HZS8		At1g22060	715.65	2.8547006756	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	715.65	0	715.65	715.65	0	0	0	0	0			cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;organelle;vacuole		NT-C2	0	0	0	0	83731	83731	0	83731	0	0	0	0	0	0
