Peak class,Chromosome,Start,End,Length,"Enrichment (Input/IP, Log2)",FDR,Peak position,Gene
PeakMul,Chr1,19505835,19506001,166,-4.5093781977,1.18E-29,3pUTR,AT1G52360
PeakStop,Chr1,19561576,19561751,175,-4.1749194636,0.0005202067,3pUTR,AT1G52510
PeakStop,Chr1,19615020,19615151,131,-4.9659018473,3.57E-10,StopCodon,AT1G52670
PeakStop,Chr1,19644926,19645076,150,-3.6580970059,5.17E-14,StopCodon,AT1G52730
PeakBoth,Chr1,19685801,19685901,100,-3.2856919934,3.51E-08,StartCodon,AT1G52870
PeakBoth,Chr1,19687726,19687851,125,-3.7514714144,8.38E-12,StopCodon,AT1G52870
PeakStop,Chr1,19689226,19689326,100,-2.5796398274,2.65E-05,StopCodon,NAM
PeakStop,Chr1,19740201,19740301,100,-2.5270166398,4.30E-05,StopCodon,AT1G52980
PeakStop,Chr1,19760136,19760251,115,-4.4957176344,4.91E-07,StopCodon,AT1G53030
PeakStop,Chr1,19840512,19840676,164,-3.6923127337,7.97E-07,StopCodon,AT1G53200
PeakStop,Chr1,19854766,19854926,160,-3.4107313846,0.0002210427,StopCodon,mMDH1
PeakStop,Chr1,19891124,19891176,52,-3.8606948267,6.57E-07,3pUTR,AtTLP7
PeakStop,Chr1,19970769,19970951,182,-3.4921442615,6.49E-06,StopCodon,ATMPK18
PeakBoth,Chr1,19984801,19984951,150,-4.3958096337,0.0011964372,StopCodon,AT1G53560
PeakBoth,Chr1,19985801,19985951,150,-4.572522136,1.72E-15,StartCodon,AT1G53560
PeakStop,Chr1,19990826,19991001,175,-3.5681422866,1.94E-17,3pUTR,MAPKKK3
PeakStop,Chr1,19991482,19991601,119,-3.5620325176,8.89E-42,StopCodon,GLY3
PeakStop,Chr1,20000076,20000151,75,-3.2013217459,2.51E-10,StopCodon,NTMC2T6.1
PeakStop,Chr1,20038031,20038176,145,-3.7128517106,2.65E-23,StopCodon,MSRB1
PeakStop,Chr1,20059226,20059551,325,-3.7107552784,2.97E-12,StopCodon,ATCYP59
PeakStop,Chr1,20065451,20065576,125,-3.3012456935,1.27E-11,StopCodon,SRF6
PeakStop,Chr1,20065804,20065976,172,-5.3118188275,5.73E-13,StopCodon,RPT1A
PeakStop,Chr1,20069101,20069201,100,-3.7688991559,7.91E-08,StopCodon,AT1G53760
PeakStop,Chr1,20074159,20074251,92,-2.8233455088,0.0001111114,StopCodon,AT1G53780
PeakStop,Chr1,20104012,20104151,139,-3.5943073566,4.86E-22,StopCodon,PAE1
PeakStop,Chr1,20136753,20136876,123,-4.8929078428,2.12E-24,3pUTR,RAP2.12
PeakStop,Chr1,20169401,20169526,125,-2.9790547083,6.09E-05,StopCodon,MVP1
PeakStop,Chr1,20201551,20201701,150,-5.0507105302,3.49E-17,StopCodon,AT1G54110
PeakStop,Chr1,20204126,20204251,125,-4.1758005669,1.43E-05,3pUTR,CCX4
PeakStop,Chr1,20213987,20214176,189,-3.3829077489,9.64E-21,StopCodon,TAFII21
PeakStop,Chr1,20221258,20221351,93,-5.2119079715,7.81E-05,StopCodon,CID3
PeakStop,Chr1,20242326,20242451,125,-3.383079697,1.67E-08,3pUTR,ATG12A
PeakStop,Chr1,20262026,20262151,125,-2.9260587389,2.05E-13,StopCodon,EIF4A-2
PeakStop,Chr1,20275476,20275726,250,-4.1788922706,2.65E-11,StopCodon,AT1G54310
PeakStop,Chr1,20286501,20286676,175,-4.273697372,2.45E-07,StopCodon,ICDH
PeakStop,Chr1,20290201,20290376,175,-4.1158473755,1.45E-24,StopCodon,AT1G54355
PeakStop,Chr1,20293026,20293151,125,-3.1005301344,7.17E-13,StopCodon,TAF6B
PeakStop,Chr1,20293247,20293376,129,-4.4156070349,0.0005152815,StopCodon,NHX5
PeakStop,Chr1,20304775,20304901,126,-3.6943354407,4.88E-06,StopCodon,ING2
PeakStart,Chr1,20310501,20310651,150,-2.7820195109,0,StartCodon,AT1G54410
PeakStop,Chr1,20356651,20356776,125,-3.2884283284,1.01E-09,StopCodon,AIN1
PeakStart,Chr1,20357551,20357726,175,-3.9709961181,1.13E-38,StartCodon,AT1G54500
PeakStop,Chr1,20365826,20366001,175,-4.4070570142,5.92E-29,StopCodon,AT1G54520
PeakStop,Chr1,20390751,20390901,150,-3.9482021081,4.08E-39,StopCodon,ACP2
PeakStart,Chr1,20396726,20396801,75,-2.4321913252,0.0005574279,StartCodon,AT1G54610
PeakStop,Chr1,20401514,20401651,137,-4.3218527321,3.27E-28,StopCodon,ACP3
PeakBoth,Chr1,20439488,20439676,188,-5.0449108076,7.56E-19,StartCodon,TLP18.3
PeakBoth,Chr1,20440876,20441126,250,-4.0308849594,5.72E-14,StopCodon,TLP18.3
PeakStop,Chr1,20450651,20450751,100,-2.6863616735,5.83E-12,StopCodon,AT1G54820
PeakStop,Chr1,20474876,20474976,100,-3.5654274679,2.38E-07,StopCodon,AT1G54920
PeakStop,Chr1,20516201,20516426,225,-3.9956828969,2.52E-09,StopCodon,AT1G55000
PeakStart,Chr1,20553826,20554051,225,-3.4788837623,0.0002946283,StartCodon,MED9
PeakStop,Chr1,20558226,20558401,175,-3.0176861689,3.47E-09,StopCodon,AT1G55090
PeakMul,Chr1,20560335,20560451,116,-2.5157418365,2.32E-06,StopCodon,AtIDD7
PeakMul,Chr1,20560826,20561076,250,-3.1656737515,2.96E-05,CDS,AtIDD7
PeakStop,Chr1,20569080,20569201,121,-2.8254236281,2.01E-07,StopCodon,ATFRUCT5
PeakStop,Chr1,20577140,20577251,111,-4.8710696024,1.26E-08,StopCodon,AT1G55150
PeakStop,Chr1,20612226,20612376,150,-5.5207993,1.02E-06,StopCodon,HUB2
PeakStart,Chr1,20617326,20617501,175,-3.4206246992,0.0001656206,StartCodon,AT1G55265
PeakStop,Chr1,20632682,20632801,119,-5.1476127501,0.0003907534,StopCodon,SR33
PeakStop,Chr1,20636676,20636776,100,-4.7610799994,5.34E-12,StopCodon,AAE18
PeakStop,Chr1,20653501,20653601,100,-3.1786620005,3.50E-08,StopCodon,AT1G55340
PeakStart,Chr1,20706751,20706851,100,-3.6487618774,1.25E-39,StartCodon,AT1G55450
PeakBoth,Chr1,20713826,20713926,100,-2.0775414798,2.01E-41,StartCodon,ZKT
PeakBoth,Chr1,20715326,20715426,100,-4.2337101609,3.04E-15,StopCodon,ZKT
PeakStop,Chr1,20715595,20715726,131,-4.627487193,1.46E-18,StopCodon,LEN1
PeakStop,Chr1,20787254,20787376,122,-5.0632332561,4.46E-30,StopCodon,CLCF
PeakStart,Chr1,20803201,20803426,225,-3.4040225123,0,StartCodon,PSAG
PeakStop,Chr1,20804681,20805001,320,-3.819100056,8.24E-24,StopCodon,AT1G55680
PeakStop,Chr1,20808566,20808651,85,-3.7134575329,4.43E-06,StopCodon,AT1G55690
PeakStop,Chr1,20905376,20905501,125,-3.2371747782,3.68E-05,StopCodon,emb1860
PeakStop,Chr1,20922051,20922151,100,-3.6865276752,5.24E-05,StopCodon,AT1G55930
PeakStop,Chr1,20927872,20927976,104,-3.0214444939,0.0001469005,StopCodon,AT1G55960
PeakStop,Chr1,20946051,20946226,175,-5.6994547112,2.90E-15,StopCodon,AT1G56000
PeakStop,Chr1,20946697,20946801,104,-3.7907571352,5.92E-13,3pUTR,NAC1
PeakStop,Chr1,20963251,20963376,125,-3.8910184103,9.40E-14,StopCodon,AT1G56045
PeakStop,Chr1,20968125,20968226,101,-4.1454220174,0.0001243011,StopCodon,LOS1
PeakStop,Chr1,20984456,20984801,345,-3.4646535927,1.31E-07,StopCodon,NOP56
PeakStop,Chr1,21030451,21030576,125,-2.9533774842,1.74E-18,StopCodon,AT1G56190
PeakStop,Chr1,21031876,21032051,175,-3.7432536906,4.70E-14,StopCodon,emb1303
PeakStop,Chr1,21086768,21086826,58,-2.9832720882,2.61E-08,StopCodon,ATSARA1B
PeakStop,Chr1,21144201,21144326,125,-3.7759216664,5.06E-44,StopCodon,PBG1
PeakStop,Chr1,21185737,21185826,89,-4.3050950911,4.72E-07,StopCodon,RXGT1
PeakStop,Chr1,21239429,21240376,947,-3.8199194699,0.0001081207,StopCodon,AT1G56660
PeakStop,Chr1,21257601,21257701,100,-2.688199904,2.18E-14,StopCodon,AT1G56700
PeakStop,Chr1,21310436,21310526,90,-4.4830435529,0.0006870427,StopCodon,AT1G57540
PeakStop,Chr1,21330649,21330726,77,-5.3269617637,1.94E-26,StopCodon,AT1G57600
PeakStop,Chr1,21344501,21344601,100,-4.096620159,6.98E-07,StopCodon,AT1G57620
PeakStop,Chr1,21362578,21362651,73,-3.2355361674,3.21E-05,3pUTR,AT1G57680
PeakStop,Chr1,21380101,21380226,125,-4.3081308439,2.65E-47,StopCodon,AT1G57720
PeakStop,Chr1,21429985,21430076,91,-3.6363451145,9.80E-10,StopCodon,AT1G57860
PeakStop,Chr1,21458161,21458251,90,-4.5192337848,3.64E-11,StopCodon,AT1G58025
PeakStop,Chr1,21464103,21464201,98,-3.058191486,7.43E-14,StopCodon,CAT2
PeakStart,Chr1,21507276,21507451,175,-3.6316661374,3.01E-17,StartCodon,ATATP-PRT1
PeakStop,Chr1,21548276,21548376,100,-3.9616829958,8.18E-35,StopCodon,MSL3
PeakStop,Chr1,21558333,21558426,93,-3.4935267498,1.16E-06,StopCodon,AT1G58220
PeakStop,Chr1,21663136,21663201,65,-3.2764229497,0.0001876554,StopCodon,ZW18
PeakStop,Chr1,21765376,21765551,175,-3.4193586531,4.21E-06,3pUTR,AT1G58602
PeakStop,Chr1,21784101,21784176,75,-3.7249014224,1.67E-06,3pUTR,AT1G58807
PeakStop,Chr1,21889777,21889876,99,-4.6346891483,0.0001044754,3pUTR,ZCW7
PeakStop,Chr1,21900701,21900851,150,-5.3857628436,3.86E-17,StopCodon,CF1
PeakStop,Chr1,21984528,21984651,123,-4.3496788519,2.18E-13,StopCodon,AT1G59760
PeakStop,Chr1,22177138,22177251,113,-4.530596064,3.30E-08,StopCodon,ATTPS10
PeakStop,Chr1,22195201,22195326,125,-4.0145744144,1.60E-11,StopCodon,emb1220
PeakMul,Chr1,22202101,22202426,325,-3.1655271907,4.33E-16,CDS,AT1G60200
PeakMul,Chr1,22204976,22205226,250,-4.051051616,2.72E-07,StartCodon,AT1G60200
PeakStop,Chr1,22211901,22212026,125,-3.3008251728,6.51E-18,StopCodon,OTS1
PeakStop,Chr1,22212162,22212301,139,-5.3592201281,0.0001242484,StopCodon,AT1G60230
PeakStop,Chr1,22218824,22218926,102,-2.9983042674,0.0014257016,StopCodon,BGLU5
PeakStop,Chr1,22285736,22285826,90,-3.8752718542,2.13E-19,StopCodon,PI3K
PeakMid,Chr1,22338318,22338401,83,-2.5896759511,9.39E-22,CDS,AT1G60640
PeakBoth,Chr1,22349859,22349976,117,-4.408090694,6.51E-05,StopCodon,NA
PeakStop,Chr1,22369075,22369276,201,-4.9942789216,1.61E-05,StopCodon,HAP13
PeakStop,Chr1,22412372,22412551,179,-3.4995778562,1.36E-05,StopCodon,AT1G60890
PeakStop,Chr1,22439451,22439551,100,-2.8453222163,2.67E-05,StopCodon,SRK2B
PeakStart,Chr1,22444526,22444651,125,-3.7581271037,0.0015844164,StartCodon,FED A
PeakStart,Chr1,22462151,22462251,100,-3.2266115559,0.000373044,StartCodon,AT1G60990
PeakStop,Chr1,22544401,22544526,125,-3.5185701127,1.58E-07,StopCodon,AT1G61150
PeakStop,Chr1,22584951,22585051,100,-2.5762439136,1.90E-05,StopCodon,AT1G61240
PeakStart,Chr1,22800851,22801001,150,-2.4951624201,3.15E-05,StartCodon,AT1G61740
PeakStop,Chr1,22812351,22812526,175,-4.4237219144,6.01E-43,StopCodon,AT1G61770
PeakStop,Chr1,22861976,22862076,100,-2.4044585283,0.0019869545,StopCodon,AT1G61850
PeakStart,Chr1,22866426,22866526,100,-3.2631282527,1.45E-08,StartCodon,PPR336
PeakMid,Chr1,23017201,23017301,100,-2.884366436,6.37E-24,CDS,WRKY6
PeakStop,Chr1,23049976,23050126,150,-3.746329977,0.0002074968,StopCodon,AT1G62330
PeakStop,Chr1,23050502,23050626,124,-3.2148049411,3.17E-05,StopCodon,AT1G62333
PeakMid,Chr1,23132526,23132726,200,-3.7800539281,1.78E-06,CDS,AT1G62500
PeakMid,Chr1,23183051,23183126,75,-2.8933350521,5.26E-08,CDS,AT1G62620
PeakBoth,Chr1,23231026,23231126,100,-2.9819814878,1.79E-05,StartCodon,Hop2
PeakBoth,Chr1,23233301,23233451,150,-3.9995749049,2.21E-36,StopCodon,Hop2
PeakStop,Chr1,23293401,23293526,125,-3.627624617,0.0004674318,3pUTR,AT1G62880
PeakMid,Chr1,23504917,23505026,109,-3.5914207284,6.33E-08,CDS,AT1G63370
PeakStop,Chr1,23526401,23526501,100,-3.1400685736,6.79E-09,StopCodon,AT1G63430
PeakStop,Chr1,23536607,23536726,119,-5.4896376781,3.07E-20,3pUTR,AT1G63470
PeakStop,Chr1,23583641,23583751,110,-4.6930321659,2.78E-11,StopCodon,AT1G63610
PeakStop,Chr1,23686976,23687076,100,-2.5349304063,9.19E-07,StopCodon,AT1G63830
PeakStop,Chr1,23776447,23776526,79,-3.8583643148,3.22E-05,3pUTR,ATRBOHF
PeakBoth,Chr1,23815140,23815226,86,-3.4328787343,2.15E-10,StopCodon,NA
PeakStop,Chr1,23835251,23835401,150,-4.9376820371,5.94E-120,StopCodon,UBC28
PeakStop,Chr1,23873701,23873851,150,-2.7377279223,1.46E-20,StopCodon,AT1G64330
PeakStop,Chr1,23883076,23883226,150,-3.7509919087,2.50E-13,StopCodon,SEH1H
PeakStop,Chr1,23936694,23936801,107,-4.9935910962,1.87E-49,3pUTR,AT1G64430
PeakStop,Chr1,23958101,23958226,125,-4.4302992444,6.31E-09,StopCodon,RPN12a
PeakStop,Chr1,23973326,23973476,150,-4.5985438376,1.50E-17,StopCodon,ATGCN3
PeakStop,Chr1,24023570,24023751,181,-4.0498355282,1.90E-06,3pUTR,AT1G64650
PeakStart,Chr1,24048326,24048426,100,-3.4604797414,1.14E-72,StartCodon,CP5
PeakStop,Chr1,24052276,24052401,125,-3.3387874193,5.24E-10,StopCodon,TUA1
PeakStop,Chr1,24059376,24059476,100,-3.6270288952,7.42E-17,StopCodon,NDF2
PeakStop,Chr1,24065101,24065226,125,-4.1279260259,3.63E-06,StopCodon,ILA
PeakStop,Chr1,24096477,24096626,149,-3.5126735107,1.16E-34,StopCodon,AT1G64850
PeakStop,Chr1,24100726,24100826,100,-3.1701530805,1.10E-46,StopCodon,SIGA
PeakStart,Chr1,24105751,24105901,150,-3.4838229985,1.91E-11,StartCodon,AT1G64880
PeakStart,Chr1,24135901,24136001,100,-2.9069097302,1.04E-07,StartCodon,VTE4
PeakStop,Chr1,24148504,24148601,97,-4.5775393871,1.32E-12,3pUTR,AT1G65000
PeakStart,Chr1,24171351,24171451,100,-3.5420341605,4.83E-05,StartCodon,4CL3
PeakStop,Chr1,24228776,24228876,100,-4.0874441761,2.54E-12,StopCodon,AT1G65220
PeakBoth,Chr1,24229158,24229276,118,-4.2172070934,1.40E-13,StartCodon,AT1G65230
PeakBoth,Chr1,24230676,24230776,100,-3.0642932082,5.99E-21,StopCodon,AT1G65230
PeakBoth,Chr1,24236306,24236376,70,-3.8191754734,7.66E-18,StartCodon,PTAC4
PeakBoth,Chr1,24240401,24240576,175,-4.8325519501,1.06E-41,StopCodon,PTAC4
PeakStart,Chr1,24241825,24241901,76,-3.8759028058,1.86E-17,StartCodon,AT1G65270
PeakStop,Chr1,24297401,24297501,100,-3.2873362775,6.62E-07,3pUTR,TGD3
PeakMul,Chr1,24306841,24307001,160,-3.6317965681,1.50E-06,StopCodon,GTB1
PeakMul,Chr1,24313434,24313576,142,-3.203489249,1.43E-16,CDS,GTB1
PeakBoth,Chr1,24362292,24362401,109,-4.895440209,4.48E-14,StopCodon,NA
PeakStop,Chr1,24418257,24418376,119,-3.0781063409,6.28E-09,StopCodon,SMP1
PeakStart,Chr1,24440826,24441026,200,-3.4995744525,1.89E-22,StartCodon,AT1G65720
PeakStop,Chr1,24476576,24476676,100,-4.0802047485,3.96E-07,3pUTR,ARK2
PeakStop,Chr1,24486676,24486851,175,-3.6321910207,6.04E-41,StopCodon,AT1G65820
PeakStop,Chr1,24516005,24516076,71,-3.5312241515,2.76E-05,StopCodon,AT1G65900
PeakStop,Chr1,24541851,24542026,175,-3.9787071185,3.65E-56,StopCodon,cICDH
PeakStop,Chr1,24546792,24546901,109,-3.6991280492,0.0003315092,StopCodon,AT1G65950
PeakStop,Chr1,24557276,24557426,150,-3.4871752735,5.87E-16,StopCodon,GAD2
PeakStop,Chr1,24559373,24559551,178,-3.4356545563,9.13E-06,StopCodon,TPX1
PeakStop,Chr1,24596077,24596226,149,-2.9389344238,7.51E-06,StopCodon,AT1G66070
PeakStart,Chr1,24647268,24647426,158,-4.1703629716,1.35E-17,StartCodon,AT1G66180
PeakStop,Chr1,24686291,24686451,160,-3.6956717014,4.01E-35,StopCodon,ATATX1
PeakStop,Chr1,24729762,24729901,139,-2.7381148372,1.45E-12,StopCodon,AT1G66330
PeakStop,Chr1,24774347,24774451,104,-3.3822327447,1.10E-06,StopCodon,CAM4
PeakStop,Chr1,24819036,24819151,115,-4.4159626745,2.44E-16,StopCodon,AT1G66530
PeakStop,Chr1,24840451,24840576,125,-2.9832413992,2.72E-12,StopCodon,SAG24
PeakStop,Chr1,24842076,24842176,100,-4.0383498345,1.21E-07,StopCodon,COX19-1
PeakStop,Chr1,24863871,24864026,155,-3.7947671089,6.77E-16,StopCodon,CLPP3
PeakStop,Chr1,24866281,24866401,120,-3.6484427558,9.73E-08,StopCodon,AR401
PeakStop,Chr1,24992701,24992826,125,-3.8095068255,1.38E-10,StopCodon,SVL2
PeakStop,Chr1,25101026,25101251,225,-3.3292484597,0.0002313081,StopCodon,SWEETIE
PeakStop,Chr1,25129261,25129376,115,-3.4878720738,0.0013206856,3pUTR,AT1G67170
PeakMid,Chr1,25153176,25153276,100,-2.4002422991,8.42E-06,CDS,LINC1
PeakBoth,Chr1,25188373,25188501,128,-5.4187128044,2.62E-13,3pUTR,AT1G67280
PeakBoth,Chr1,25190432,25190601,169,-4.7205644542,1.17E-32,StartCodon,AT1G67280
PeakStop,Chr1,25193811,25193901,90,-3.7399033848,2.99E-06,StopCodon,AT1G67300
PeakStop,Chr1,25209654,25209726,72,-4.7014847475,3.94E-06,3pUTR,AT1G67325
PeakStop,Chr1,25263601,25263726,125,-4.3493372584,2.22E-90,StopCodon,AT1G67430
PeakStop,Chr1,25263907,25264001,94,-4.1983462743,2.96E-12,StopCodon,emb1688
PeakStop,Chr1,25365895,25366026,131,-4.4675350727,1.04E-05,StopCodon,AT1G67680
PeakStop,Chr1,25375901,25376026,125,-3.6994926004,7.66E-94,3pUTR,AT1G67700
PeakBoth,Chr1,25394308,25394401,93,-2.8503457834,3.60E-09,StopCodon,PSBY
PeakBoth,Chr1,25394851,25395076,225,-3.617300324,1.48E-224,StartCodon,PSBY
PeakBoth,Chr1,25416017,25416126,109,-3.9083478217,4.34E-06,StopCodon,NA
PeakStop,Chr1,25462601,25462701,100,-3.9511571804,1.80E-06,3pUTR,AT1G67890
PeakStart,Chr1,25477101,25477351,250,-3.6781242258,4.00E-05,StartCodon,AT1G67930
PeakStop,Chr1,25495776,25495876,100,-2.4626575647,1.33E-10,3pUTR,HPR
PeakStop,Chr1,25500176,25500301,125,-3.5446143943,7.81E-05,StopCodon,ATTPS6
PeakStop,Chr1,25560976,25561076,100,-3.7058681466,0.0008708952,StopCodon,AT1G68190
PeakStop,Chr1,25571501,25571626,125,-4.5838389744,2.95E-13,StopCodon,AT1G68220
PeakStop,Chr1,25585892,25586026,134,-4.1058398775,3.86E-21,StopCodon,AT1G68260
PeakStop,Chr1,25601226,25601351,125,-2.9789799814,7.38E-06,StopCodon,AE7
PeakStop,Chr1,25786626,25786726,100,-2.8992608871,1.60E-08,StopCodon,AT1G68680
PeakMul,Chr1,25805026,25805176,150,-2.9479842594,0.0018966858,CDS,ATTADA
PeakMul,Chr1,25808751,25808826,75,-2.5772174608,0.0001831298,StopCodon,ATTADA
PeakMid,Chr1,25809451,25809901,450,-3.6602675435,6.50E-05,CDS,AGP19
PeakMul,Chr1,25834895,25835101,206,-3.1409538013,2.66E-05,StopCodon,LINC3
PeakMul,Chr1,25836401,25836501,100,-2.5770935577,9.21E-07,CDS,LINC3
PeakMul,Chr1,25836751,25836851,100,-2.4696601639,2.46E-05,CDS,LINC3
PeakStop,Chr1,25872575,25872676,101,-4.5974141058,4.39E-21,StopCodon,STN7
PeakMul,Chr1,25966693,25966826,133,-3.6971141169,1.18E-16,CDS,AT1G69060
PeakMul,Chr1,25967176,25967276,100,-3.6438939216,4.06E-28,StopCodon,AT1G69060
PeakMid,Chr1,25969526,25969651,125,-2.4451896119,0.0001133275,CDS,AT1G69070
PeakMul,Chr1,26020258,26020351,93,-4.9898892339,4.81E-25,StopCodon,SIK1
PeakMul,Chr1,26020701,26020876,175,-3.8287403838,1.15E-10,CDS,SIK1
PeakStop,Chr1,26035226,26035326,100,-2.6434870242,4.57E-33,StopCodon,AT1G69250
PeakMid,Chr1,26051326,26051426,100,-4.6183156763,2.15E-47,CDS,PDCB4
PeakStop,Chr1,26069626,26069751,125,-3.7723578086,8.69E-13,StopCodon,AT1G69340
PeakStop,Chr1,26072347,26072476,129,-3.997709808,0.0002681735,StopCodon,AT1G69360
PeakStop,Chr1,26086276,26086401,125,-3.6454161123,3.05E-24,StopCodon,ATMINE1
PeakStop,Chr1,26096801,26096951,150,-3.7607949528,1.03E-05,3pUTR,AT1G69420
PeakStop,Chr1,26107059,26107201,142,-5.0723340888,1.78E-20,StopCodon,AT1G69450
PeakStop,Chr1,26127776,26127951,175,-4.9990293355,4.36E-54,3pUTR,AT1G69510
PeakStop,Chr1,26129501,26129601,100,-3.103969335,6.31E-10,StopCodon,AT1G69520
PeakStop,Chr1,26191076,26191176,100,-3.5715883072,4.10E-08,StopCodon,RPL34
PeakStop,Chr1,26234626,26234901,275,-3.900101495,1.22E-37,StopCodon,HEMB1
PeakStart,Chr1,26342951,26343051,100,-3.0715748513,7.58E-06,StartCodon,SHW1
PeakStop,Chr1,26348872,26348976,104,-4.2496177609,3.68E-45,StopCodon,PP2A
PeakStop,Chr1,26356440,26356551,111,-4.440551673,3.11E-10,StopCodon,AT1G69980
PeakBoth,Chr1,26389872,26390001,129,-4.1755876051,9.47E-05,StopCodon,NA
PeakBoth,Chr1,26420044,26420151,107,-3.7483715399,1.91E-14,StartCodon,AT1G70160
PeakBoth,Chr1,26422251,26422351,100,-2.2476178622,9.29E-07,StopCodon,AT1G70160
PeakStop,Chr1,26429101,26429226,125,-4.3167085181,4.59E-05,StopCodon,AT1G70180
PeakStop,Chr1,26432401,26432551,150,-3.8900548277,7.87E-09,StopCodon,AT1G70200
PeakStop,Chr1,26534075,26534251,176,-4.80733986,6.42E-20,StopCodon,ATBCA4
PeakStop,Chr1,26563957,26564151,194,-4.1689068729,8.54E-43,StopCodon,ARFA1D
PeakBoth,Chr1,26588526,26588701,175,-3.9401730224,1.01E-05,StopCodon,NA
PeakStop,Chr1,26612001,26612101,100,-3.3337565166,6.90E-09,StopCodon,AT1G70570
PeakStop,Chr1,26615751,26615951,200,-3.2363267818,4.46E-12,StopCodon,GGT2
PeakMul,Chr1,26626726,26626951,225,-2.8367043638,1.30E-06,StartCodon,AT1G70620
PeakMul,Chr1,26628151,26628251,100,-3.5424926481,4.36E-06,CDS,AT1G70620
PeakStop,Chr1,26641890,26642051,161,-4.2097617234,4.88E-05,StopCodon,MMZ2
PeakStart,Chr1,26652135,26652251,116,-3.1077678947,5.38E-07,StartCodon,HWI1
PeakStop,Chr1,26688176,26688376,200,-3.3024416693,4.95E-37,StopCodon,AT1G70770
PeakStop,Chr1,26733626,26733826,200,-3.8265225028,3.79E-06,StopCodon,AT1G70900
PeakStop,Chr1,26809904,26810026,122,-4.7898266169,1.47E-28,StopCodon,AT1G71080
PeakStop,Chr1,26813992,26814101,109,-4.7335736269,6.32E-21,3pUTR,AT1G71090
PeakStop,Chr1,26833533,26833626,93,-3.5650334203,1.66E-09,StopCodon,SAG18
PeakStop,Chr1,26851626,26851801,175,-3.7141319332,5.50E-07,StopCodon,PSL2
PeakStop,Chr1,26859576,26859676,100,-3.1581638862,1.48E-08,StopCodon,AT1G71240
PeakStop,Chr1,26885561,26885626,65,-2.8719384458,0.0024065935,StopCodon,AT1G71340
PeakMid,Chr1,26892401,26892601,200,-3.2854361814,4.03E-05,CDS,AT1G71360
PeakStop,Chr1,26933126,26933301,175,-3.2014998956,9.58E-13,StopCodon,AT1G71490
PeakStop,Chr1,26937376,26937476,100,-2.5070726781,2.50E-08,StopCodon,AT1G71500
PeakStop,Chr1,26970226,26970326,100,-2.7410450812,0.0031053354,StopCodon,SOL1
PeakStop,Chr1,26998801,26998926,125,-4.6030576725,4.42E-09,StopCodon,AT1G71790
PeakStop,Chr1,27002576,27002676,100,-4.3677517876,4.56E-16,StopCodon,AT1G71810
PeakStop,Chr1,27024376,27024476,100,-2.8527314145,4.21E-14,StopCodon,AT1G71840
PeakStop,Chr1,27068926,27069026,100,-2.8048885668,1.99E-15,StopCodon,HISN6B
PeakStop,Chr1,27080367,27080501,134,-4.4349342149,4.11E-23,StopCodon,AT1G71950
PeakStop,Chr1,27099901,27100001,100,-2.4754154372,0.0001538521,StopCodon,AT1G71980
PeakStop,Chr1,27109341,27109601,260,-3.1483240312,0.0002470481,StopCodon,AT1G72020
PeakStop,Chr1,27126676,27126801,125,-3.6165769158,3.83E-09,StopCodon,AT1G72090
PeakStop,Chr1,27157501,27157626,125,-4.7725223472,2.86E-13,StopCodon,AT1G72170
PeakStop,Chr1,27243006,27243176,170,-4.7348254585,5.73E-13,StopCodon,P40
PeakStop,Chr1,27261192,27261301,109,-5.3736767801,1.34E-07,3pUTR,AT1G72420
PeakStop,Chr1,27274239,27274326,87,-3.6928512344,7.20E-07,StopCodon,JAZ6
PeakBoth,Chr1,27295301,27295401,100,-3.0150205551,4.48E-05,StopCodon,NA
PeakStop,Chr1,27319876,27319951,75,-3.1129917107,9.93E-05,StopCodon,AT1G72550
PeakStop,Chr1,27359296,27359401,105,-4.5869886485,2.39E-12,StopCodon,ATCAD1
PeakStop,Chr1,27376176,27376426,250,-4.9623262607,1.08E-18,StopCodon,CKL2
PeakMul,Chr1,27380395,27380501,106,-3.7795033243,0.0001892812,StopCodon,AT1G72740
PeakMul,Chr1,27380726,27380901,175,-3.3741264782,1.90E-12,CDS,AT1G72740
PeakStop,Chr1,27457427,27457551,124,-4.0827602095,1.06E-40,StopCodon,BGAL17
PeakStop,Chr1,27469701,27469851,150,-2.9961201706,0.0019057679,StopCodon,AT1G73020
PeakStop,Chr1,27481251,27481426,175,-4.2129890839,1.48E-21,StopCodon,LPA3
PeakStop,Chr1,27494251,27494376,125,-2.7218118979,0.0001042089,StopCodon,AT1G73110
PeakBoth,Chr1,27523388,27523501,113,-3.3742677888,3.25E-06,StopCodon,NA
PeakStop,Chr1,27540346,27540476,130,-3.7381439936,0.0011209669,StopCodon,AT1G73230
PeakStart,Chr1,27640201,27640351,150,-3.0213775155,7.78E-06,StartCodon,ATMKK9
PeakStop,Chr1,27673426,27673526,100,-2.584939482,1.22E-15,StopCodon,CPuORF32
PeakStop,Chr1,27688339,27688451,112,-5.4649015301,9.59E-47,StopCodon,AT1G73650
PeakStop,Chr1,27690383,27690551,168,-3.2999794642,7.93E-06,StopCodon,AT1G73655
PeakStop,Chr1,27703226,27703351,125,-3.7810219069,3.60E-11,3pUTR,MPK15
PeakStop,Chr1,27704087,27704176,89,-4.1051407825,9.94E-22,StopCodon,ALPHA DOX2
